,x
1, 세월호 침몰 사고 후유증이 온국민에 거세게 몰아치고 있는 가운데 그룹  임슬옹과 조권이 착잡한 심경을 전했다 일 조권은 자신의 트위터에 비통함과 원망만 늘어가는 지금 책임을 놔버린 선장 가족들을 감싸줘야할 정부 공정해야할 언론 일부 몰지각한 네티즌이라며 사람이 우선인데 간단한데 정말 어려운가보다라고 세월호 침몰 후 자신의 행동에 책임지지 않는 일부 사람들을 비판했다 이어 감정의 균형을 늘 맞춰야하는 직업을 가진 저도 한없이 마음이 가라앉습니다라며 세월호 침몰 사고로 고통 받고 있음을 전했다 같은날 비슷한 시간대에 임슬옹 역시 자신의 트위터에 나라도 작은 것부터라도 올바르게 열심히 해보자라는 글을 올렸다 세월호 침몰 사고 관련 임슬옹조권의 트위터 글을 본 누리꾼들은 요즘 너무 우울 기적이 일어나길 같이 기도해요 작은 것부터 올바르게 작은 것부터가 중요하죠 세월호 침몰답답하네요 그저 세월호 침몰진짜 이런 우리나라가 정말 미워요 세월호 침몰아이들은 춥고 무서울텐데 세월호 침몰부모님들 모습 볼수록 안타깝고 슬퍼져요 등의 반응을 보였다 세월호 침몰 후 한 종편채널은 민감잠수부 홍 모씨와의 인터뷰를 보도하는 과정에서 홍 씨의 거짓 주장을 확인 작업없이 그대로 기사화해 결국 일 보도국장이 직저 사과방송을 진행했다 일 경찰은 홍씨에게 체포영장을 발부 일 오전 시 분쯤 경찰에 자진 출석해 조사를 받았다 또한 세월호 침몰 사고 직후 에는 실종자들에게서 온 것이라며 출처가 불분명한 생존 메시지들이 유포됐고 가족들은 이런 메시지를 근거로 하루빨리 실종자들을 구해 달라며 당국에 선체 구조 작업을 요구했지만 경찰 조사 결과 이는 허위로 드러났다 이에 경찰은 악의적인 허위사실 유포자들에 대해 법적 처벌이라는 강력 처방을 내렸다 한편 세월호 침몰 참사에 따라 가요계는 이번주도 잠정 휴업을 유지한다 가수들이 출연하는 리얼리티 프로그램은 일찌감치 결방을 확정했고 각종 행사들도 취소를 검토 중이다 불가피한 경우에는 추모의 뜻을 담는 형식으로 변경될 전망이다 
2, 세월호 침몰 참사에 밀회가 결방을 확정했다 종합편성채널 의 관계자는 일 편성 회의를 거친 결과 일과 일 방송 예정이었던 밀회 회와 회를 방송하지 않기로 결정했다 여객선 세월호 침몰 사고 관련 뉴스 특보로 대체될 예정이다라고 밝혔다 앞서 는 예능프로그램 님과 함께 유자식 상팔자 등의 결방을 확정지었으며 뉴스특보와 시사 및 교양프로그램으로 대체 편성했다 또한 매주 월요일 진행되는 마녀사냥 녹화 역시 취소된 것으로 알려졌다 하지만 일 썰전의 녹화는 그대로 진행될 예정이다 썰전에서는 세월호 침몰 참사에 대한 토크를 다룰 예정이다 세월호 침몰 참사에 누리꾼들은 세월호 침몰 기적이란 없는 걸까요 세월호 침몰 근데 하루종일 똑같은 것만 보고 있으니 더 우울해지는 기분이다 세월호 침몰 제발 아이들만 돌아올 수 있다면 드라마가 대수일까요 등의 반응을 보였다 
3, 배우 하지원이 세월호 침몰 사고를 애도하며 억 원을 기부했다 일 오후 하지원 소속사 해와달 엔터테인먼트는 하지원이 세월호 침몰 사고 피해자들과 구조 작업에 도움이 되고자 억 원을 기부했다고 밝혔다 이어 하지원이 현재 세월호 침몰 사고 소식에 큰 충격을 받고 비통한 마음을 금할 수 없어 기부를 통해 피해자들을 애도하기로 결심했다고 기부 배경을 설명했다 평소 최경주 재단에 예체능계 청소년들을 위한 하티스트 장학금을 지원 세브란스 병원에 시각 장애 어린이들을 위한 치료금 후원을 해오던 하지원은 이번 세월호 침몰 사고 피해자 다수가 청소년이라는 소식에 더욱 가슴 아파했다고 한다 한편 하지원의 이번 기부금은 전라남도 사회복지 공동모금회에 전달돼 세월호 침몰 참사 피해 가족들을 위해 쓰여질 전망이다 
4, 세월호 침몰 참사에 연예계와 스포츠계 모두 기부에 동참하고 있다 일 하지원의 소속사 관계자에 따르면 하지원이 기황후 막바지 촬영 중 세월호 침몰 소식에 큰 충격을 받았다 피해자 가족들을 돕고자 하는 마음에 기부를 결심하게 됐다고 밝혔다 하지원의 기부금은 일 전라남도 사회복지 공동모금회에 전달될 예정으로 전약 세월호 침몰 참사 유가족들과 구조인원들을 위해 사용된다 스포츠 스타 김연아 역시 기부에 동참했다 일 유니세프 한국위원회는 유니세프 국제친선대사인 김연아가 세월호 참사로 인한 전국민의 아픔을 함께 나누고자 억 원의 기금을 유니세프 한국위원회에 전달했다고 전했다 앞서 김연아는 자신의 트위터에 기적이 일어나길 간절히 기도합니다라는 글을 게재하기도 했다 세월호 침몰 하지원과 김연아 기부 소식에 누리꾼들은 세월호 침몰 큰 돈인데 기부 대단하다 세월호 침몰 기부 기사에 악플 다는 생각 없는 사람들은 뭐지 세월호 침몰 정말 기적이 일어나길 등의 반응을 보였다 한편 하지원과 김연아 외에도 배우 송승헌 온주완 야구선수 류현진 김광현 해외 스타 코니탤벗 등 많은 스타들이 기부의 뜻을 전했다 
5, 시사교양프로그램 리얼스토리 눈이 정상 방송된다 일월 밤 시 분 방송될 리얼스토리 눈에서는 일 진도 앞바다에서 발생한 여객선 세월호 침몰 사건에 대한 이야기가 다뤄진다 지난 일수 오전에 인천에서 출발해 제주도로 향하던 여객선 세월호가 침몰하고 있다는 전화가 걸려왔다 당시 이 배 안에는 승객과 선원을 포함해 약 여 명이 타고 있던 것으로 알려졌으며 현재까지 구조된 인원은 약  명이다 명의 초등학교 동창생들과 함께 제주도행 배에 오른 환갑을 맞은 김정근 씨 올해 수학여행을 가기 위해 세월호에 몸을 실은 학생 제주도로 이사를 준비하기 위해 세월호에 몸을 실은 엄마 아빠 그리고 한 살 많은 오빠와 함께 배를 탄 살 여자아이 등 이들의 눈을 통해 본 진도 여객선 침몰 사건의 시간을 쫓아가 본다 사고가 발생한 지 일째 팽목항에서는 살아서 돌아오기를 기다리는 사람들의 기도와 돌아오지 못한 이들을 보내는 눈물로 가득 차있는 모습을 전달할 예정 세월호 침몰 리얼스토리 눈 소식에 누리꾼들은 세월호 침몰에 대해 어떻게 담았을지 궁금하네요 세월호 침몰 우울해지는 기분입니다 세월호 침몰 진짜 기적은 없는 걸까요 등의 반응을 보였다 
6, 애프터스쿨 리지가 세월호 침몰 참사에 애도를 표했다 일 리지는 자신의 트위터에 기적이 일어나길 바랍니다라는 글을 올렸다 리지가 글과 함께 올린 사진은 일 경기도 안산시 단원구 화랑 유원지에서 실종된 단원고등학교 학생들의 무사 귀환을 기원하기 위해 열린 대규모 촛불 기도회 장면을 담고 있다 세월호 침몰 사고 실종자들의 무사 귀환을 바라는 리지의 글에 누리꾼들은 세월호 침몰 너무 슬픈 일이다 세월호 침몰 제발 기적이 일어났으면 세월호 침몰생존자 소식이 나왔으면 좋겠다 등의 반응을 보였다 범정부 사고대책본부가 일오늘 오전 시 공개한 세월호 침몰 사고 피해현황은 승선 명 사망 명 생존 명 실종 명이다 
7, 여객선 세월호 침몰 사고와 관련해 러시아의 블라디미르 푸틴 대통령 영국의 엘리자베스 세 여왕과 캐머런 총리 등이 박근혜 대통령에게 위로 메시지를 추가로 보내왔다고 청와대가 일 밝혔다 민경욱 청와대 대변인은 이날까지 오바마 미국 대통령과 시진핑 중국 주석을 포함해 전 세계 개국 정상과 유엔 글로벌녹색성장연구소 국제이주기구 등 국제기구 곳에서 위로 전문을 보내왔다고 말했다 푸틴 대통령은 지난 일 보낸 위로 전문에서 많은 어린이와 학생들이 포함돼 있는 세월호 여객선 침몰 희생자들에게 깊이 애도를 표한다며 대통령님과 희생자 가족 및 한국 국민에게 충심의 위로를 드리며 부상자들의 조속한 회복을 기원드린다고 밝혔다 엘리자베스 여왕은 지난 일 전문을 보내 세월호 사고로 인한 희생과 피해의 소식을 듣고 깊이 충격을 받았다 특히 많은 희생자가 어린 학생들이어서 슬픔을 금할 길 없다고 밝혔다 캐머런 총리는 서한을 통해 영국은 대한민국에 대해 큰 연민을 느끼며 매우 침통하게 생각한다고 밝혔다 
8, 세월호 침몰 참사가 온국민을 비탄에 빠뜨린 가운데 삼성뮤직 측이 엑소의 컴백 이벤트를 잠정적 중단 했다 일 삼성뮤직 측은 공식 홈페이지에 불의의 사고로 큰 아픔을 겪고 있는 모든 피해자와 가족분들께 위로 말씀 드립니다 반드시 모든 분들이 구조되어 가족의 품으로 돌아올 수 있도록 진심으로 기원합니다라는 글로 세월호 침몰 참사에 대한 애도를 전했다 이어 저희 삼성뮤직은 스페셜 이벤트 및 팬사인회 응모 이벤트를 포함한 모든 삼성뮤직 이벤트를 잠정적으로 중단하오니 양해 부탁드립니다 기존 팬사인회 응모하셨던 분들의 응모 정보는 유효하니 응모 이벤트가 재개되면 정상적으로 반영될 수 있도록 하겠습니다라고 밝혔다 끝으로 다시 한 번 세월호 침몰 사고 피해자와 가족분들께 깊은 애도를 올리며 많은 실종자분들이 반드시 구조되어 올 수 있도록 온 힘을 모아 간절히 기원합니다며 덧붙였다 이러한 소식이 전해지자 누리꾼들은 세월호 침몰에 이벤트 진행하기 그렇겠죠 당연한 결과라고 생각합니다 세월호 침몰 제발 기적이 있으면 좋겠습니다 세월호 침몰 희생자들 좋은 곳으로 갔기를 바랍니다 등의 반응을 보였다 한편 삼성뮤직은 월부터 엔터테인먼트와의 제휴를 통해 일오늘 컴백 예정이었던 엑소의 두 번째 미니앨범 중독의 쇼케이스를 개최하는 등 주요 프로모션을 진행해왔다 하지만 지난 일 발생한 세월호 침몰 참사로 엑소는 앨범 발매를 잠정적 연기했으며 삼성뮤직 역시 프로모션을 중단했다 
9, 송은이와  찬성이 세월호 침몰 스미싱에 일침을 가했다 지난 일 송은이는 자신의 트위터에 가슴이 미어지는 이 상황을 스미싱으로 연결한 정신나간 놈들 미쳤어라는 글을 남겨 세월호 침몰을 악용한 스미싱에 대한 일침을 가했다 이어 일 찬성 역시 자신의 트위터에 참 슬프고 안타깝다 사고 이후로 마음이 좋지 않다 사고만으로도 그렇지만 사고 이후로 생겨나는 악질적인 행위들과 확인되지 않은 사실들이 돌아다니며 힘든 사람들의 마음을 찌르는 것이 더 마음이 아팠다 그런 사람들 정말 자신들이 한 짓거리만큼 아프길이라며 역시 세월호 침몰을 악용하는 사람들에 대한 분노를 표했다 이는 세월호 침몰 사고 후 이를 악용한 스미싱 문자가 발송되고 있기 때문 세월호 침몰 사고 관련 스미싱 문자에는 세월호 침몰 그 진실은이라는 문구와 함께 인터넷 주소가 적혀 있다 송은이와 찬성의 세월호 침몰 스미싱 일침에 누리꾼들은 세월호 침몰 진짜 스미싱하는 나쁜 놈들 다 없어져라 세월호 침몰 진짜 이용할 게 없어서 저런 참사를 이용하냐 세월호 침몰 제발 기적은 없나요 등의 반응을 보였다 
10, 세월호 침몰에  옥택연과 황찬성이 일침을 가했다 지난 일 옥택연은 자신의 트위터에 지금 거짓과 루머를 만들어내는 사람들은 인간도 아니다라는 짧은 글을 게재했다 이는 세월호 침몰 참사에 관련해 등을 통해 루머를 만들어내는 사람들에 비판을 가한 것 앞서 지난 일 황찬성 역시 자신의 트위터에 참 슬프고 안타깝다 사고 이후로 마음이 좋지 않다 사고만으로도 그렇지만 사고 이후로 생겨나는 악질적인 행위들과 확인되지 않은 사실들이 돌아다니며 힘든 사람들의 마음을 찌르는 것이 더 마음이 아팠다 그런 사람들 정말 자신들이 한 짓거리만큼 아프길이라는 글로 분통을 드러냈다 이는 세월호 침몰 사고 이후 이를 악용한 스미싱 문자를 겨냥한 글로 보인다 스미싱 문자에는 세월호 침몰 그 진실은이라는 글과 함께 링크가 포함돼 있다 세월호 침몰에 관심이 높은 국민들을 이용해 스미싱 문자가 기승을 부리고 있는 것이다 세월호 침몰  옥택연과 황찬성 일침에 누리꾼들은 세월호 침몰 진짜 답이 없다 답이 없어 세월호 침몰가지고 악용하지 마세요 세월호 침몰 전국민이 슬퍼할 때 그런 걸 이용하는 사람들이 있다는게 정말 슬프네요 등의 반응을 보였다 
