,x
1,세월호 침몰 사고와 관련해  일 오후  시 현재 구조자는  명으로 잠정 집계됐다서해지방해양경찰청은 이날 오후  시 현재 전체 승객  명 가운데 구조자  명 사망자  명 실종자  명으로 파악됐다고 밝혔다온라인뉴스팀 
2,아비규환의 순간에도 자신의 안전을 뒤로한 채 학생들을 구조한 이도 있었다 제주도에 있는 한 회사에 배관설비사로 취업해 첫 출근을 하려고 세월호에 승선한 김홍경 사진씨다 김씨는  층에 탑승했는데 배가 심하게 흔들리더니 불과 몇분 만에 직각으로 기울어졌다고 했다 그는  층 선실에 물이 차는 것을 목격하고는 주위에 학생들을 먼저 구하자고 외쳤다 주변에 있는 사람들과 힘을 합쳐 커튼  가량을 잇고 모자란 부분은 소방호스를 연결해 구명줄부터 만들었다 구명줄을 내려보낸 뒤 여럿이 필사적으로 잡아당겨 학생  여명을 구했다 김씨 등의 구조 작업이  여분 진행되는 동안  층 선실이 물로 가득 찼고 뱃머리만 겨우 물 위로 떠오른 상황이 됐다 김씨는 바닷물에 휩쓸리면서도 물속에 있던 학생 한 명을 더 구해낸 뒤 어선에 구조됐다 김씨는 더 많은 사람을 구하지 못해 가슴이 미어진다고 했다 그도 다른 승객들의 증언처럼 지금 위치에 그대로 있으라는 안내방송이 피해를 키웠다고 말했다 김씨 말고도 자신의 생명이 위험한 상황에서 주변부터 돌본 이들이 여럿 있었다 기울어진 선창에서 구조를 기다리던 단원고 학생들 일부는 구명보트를 타고 접근한 구조대를 향해 여기 아이 있어요라며 어린이를 먼저 구해달라고 소리치기도 했다 진도박승헌 기자 연합뉴스  
3, 일 오전 발생한 세월호 침몰 사고를 맞닥뜨린 정부는 탑승자와 구조자 실종자 수 등 사고 상황을 파악하기 위한 가장 기초적인 사실관계조차 파악하지 못해 온종일 허둥대는 등 재난 대응관리의 허점을 드러냈다 정부가 초기 상황 파악에 실패하면서 구조작업에 악영향을 끼친 것은 물론 피해자 가족들에게도 큰 혼란을 일으켰다는 지적이 나온다정부가 꾸린 중앙재난안전대책본부중대본는 이날  시간 간격으로 연 브리핑에서 구조 인원을  명오전  시 분 브리핑  명낮  시 분  명오후  시으로 발표했다 이때까지만 해도 구조자 수가 빠르게 증가하면서 피해가 크지 않을 것이란 전망이 지배적이었다 이날 침몰한 여객선 세월호에는 제주도로 수학여행을 떠난 경기도 안산 단원고 학생  명을 포함해  명이 탑승했다하지만 오후  시 분께 구조자를 중복 집계했다는 오류가 드러나며 상황이 급변했다 중대본은 오후  시 분 브리핑에서 구조된 승객이  명이라고 수정해 발표했다 중대본이 사고 신고가 이뤄진 오전  시 분부터 무려  시간 이상 잘못된 정보를 토대로 사고 수습에 나서고 있던 것이다박근혜 대통령은 구조 인원과 사망실종 인원 집계에 혼선이 빚어진 것 초기 상황 파악을 제대로 못한 점을 질타했다 박 대통령은 이날 오후 중대본을 방문해 이경옥 안전행정부  차관으로부터 보고를 받고 처음에 구조 인원이 발표된 것하고 나중에 확인된 것하고 차이가 무려  명이나 있었는데 어떻게 그런 큰 차이가 날 수 있었나라고 지적했다 이에 대해 이 차관은 구조해서 출발하는 곳과 도착하는 곳에서 중복 카운트를 해서라고 답했다구조 인원 등을 두고 중대본과 해양경찰청 해양수산부 경기도교육청 등은 제각기 다른 수치를 내놓기도 했다 사고 초기 상황을 정확히 파악해 구조 계획을 세워야 하는데 정부는 구조 인원과 실종 인원을 파악하지 못하고 갈팡질팡했다 이에 따라 군과 해경 해양수산부 등 유관기관들이 유기적 협력 속에 사고 초기 필요한 구조 인력장비 등을 제때 투입하는 데 차질을 빚었다는 지적이 나온다사고 직후 군은 장비와 병력을 지원했지만 본격적인 수중 구조 작업은 늦어지고 있는 것으로 알려졌다 군 관계자는 현장 해역이 수중에서 볼 수 있는 시야가  ㎝밖에 안 되고 유속이 시속  해리약  ㎞로 매우 빨라서 생명줄 등 잠수지원장비 없이 작업을 하기 어려운 상황이라고 말했다특히 승객의 대다수를 차지하는 안산 단원고 학생들의 부모들은 경기도교육청과 단원고 쪽이 학생 전원이 구조됐다고 밝히면서 안도했다가 뒤늦게 사실과 다르다는 것을 알게 돼 혼란을 겪기도 했다 경기도교육청은 해양경찰청 탓으로 돌렸다 경기도교육청 관계자는 이날  시 분께 단원고에서 교장이 해경 관계자로부터 전원 구조된 것 같다는 말을 듣고 이를 그대로 교육부에 보고하면서 이런 일이 벌어졌다고 설명했다구조자 수도 파악 못하느냐는 비판이 거세지자 중대본은 브리핑을 오후  시 분으로 마무리하고 다음날 오전  시 전까지는 브리핑을 하지 않겠다 사고와 구조자와 관련된 내용은 목포 해양경찰청에서 브리핑하게 될 것이라고 밝혔다 침몰 사고의 큰 그림을 그려 국민들을 안심시켜야 할 중대본이 그 역할을 현장의 해경에 맡긴 셈이다 음성원 기자 안산홍용덕 기자  
4,사고 직후 세월호가 완전히 침몰하기까지는  시간 넘는 시간이 있었는데도  일 오후  시 현재 사망자가  명 실종자가  명에 달할 정도로 인명 피해가 컸던 데에는 승무원 등의 잘못된 초동 대처가 주요한 원인으로 지목된다 배가 기울고 물이 들어차는 상황에서도 승무원들은 선실 안내방송을 통해 자리에 그대로 있으라고 했고 이 말을 믿은 다수 승객들이 선실에 그대로 머물면서 피해가 더욱 커진 것으로 추정되고 있다 취재진이 진도체육관에서 만난 단원고 학생 박준혁 군은 아침을 먹고 복도에 나와 있었는데 갑자기 배가 기울었다 가만히 있어라라는 방송이 나왔고 점차 배가 기우는  시간 동안 모두  차례 방송이 있었다  분이면 구조대가 도착한다는 방송도 나왔다고 말했다 오아무개 양도 가만히 있으라는 방송대로 하는 게 좋을 것 같아서 선실 안에 그대로 있었는데 창문에 물이 찰랑거리다 갑자기 유리창이 깨지면서 물이 쏟아져 들어왔다 그제야 친구들과 함께 밖으로 나와 구조됐다고 했다 해병대 출신인 승객 서희건 씨도 방송에서 계속 가만히 있으라고만 하니까 피해가 더 커졌다 나는 배가 기울고 나서 회전을 하길래 침몰의 징후라고 생각하고 바다에 뛰어들 준비를 했다 그러나 학생들은 안내방송대로 대부분 그냥 자리에서 기다렸다고 말했다 승무원들은 학생 등 승객들에게 구명조끼 착용과 비상 탈출을 위한 안내도 제대로 하지 않은 것으로 드러났다 승객 김아무개 씨는 방송에선 움직이지 말라고 했지만 배가 심하게 기울길래 나는 구명조끼를 찾아 입고 선실 밖으로 나왔다 승무원이나 안내방송이 구명조끼의 위치도 알려주지 않았고 탈출 과정에서도 승무원의 모습은 보이지 않았다고 말했다 안내방송에서 지시하는 대로 자기 자리를 지킨 승객과 방송을 따르지 않고 자구책을 찾은 승객들의 운명은 그렇게 갈렸다 김씨는 좌초니 침몰 중이니 하는 안내가 없으니 많은 승객들이 파도가 쳐서 배가 기울어졌다고 생각한 것 같다 구조된 사람들은 대부분 안내방송을 믿지 않고 적극적으로 움직인 승객들이라고 말했다 또 세월호에는  명이 탈 수 있는 구명벌둥근 형태의 튜브 보트  대가 실려 있었지만 사고 이후 단  대만이 가동됐을 뿐 나머지  대는 그대로 본선에 매달린 채 바닷속으로 가라앉았다 서해지방해양경찰청은 세월호 선장 이아무개 씨와 다른 승무원들을 상대로 인명 피해를 키운 초동 대처가 선장 이씨의 지시에 따른 것이었는지 여부를 조사하고 있다 목포박승헌 기자 송호균 기자  
5,세월호 침몰 현장에서 승객들이 필사적으로  살 아이를 구조했다 하지만 부모와 오빠의 생사가 확인되지 않아 주변을 안타깝게 하고 있다 김아무개 씨 등 세월호  등칸 플로어룸에 있던 승객들은 배가 가라앉을 때 혼자 있던 권지연양을 발견했다 권양 곁에 있어야 할 부모는 보이지 않았다 권양은 두려움에 떨며 눈물도 흘리지 못한 채 몸을 부들부들 떨고 있었다 김씨 역시 배가 급격히 기울며 바닥에 떨어지는 과정에서 머리를 다쳤으나 아이를 구해야겠다는 생각뿐이었다고 당시를 기억했다 김씨 등 일행  명은 권양을 안고 기울어진 배를 오르기 시작했다 김씨 일행은 서로 밀고 당기며 권양을 위로 밀어올렸다 김씨는 눈에 보이는 건 모두 잡고 올라갔다 혼자서는 절대 못 올라갈 높이여서 일행이 없었다면 살기 어려웠다고 말했다 세월호 폭이  인 것을 고려했을 때 이들은   이상을 올라간 것이다 바닥에 물이 차오르는 소리가 들려왔다 김씨 일행은 애 어딨어 애 찾아라며 끝까지 권양을 보호했다 마지막 순간에는 수학여행을 온 여고생들도 힘을 보탰다 김씨 일행이  여를 올라왔을 때 여고생들이 권양을 끌어올렸다 한 여고생은 두려움에 떠는 권양을 꼭 안고 구조를 기다렸다 무사히 구조된 권양은 이날 정오께 목포한국병원으로 옮겨졌다 큰 부상은 없지만 현재 심리적으로 매우 불안한 상태인 것으로 알려졌다 병원의 한 관계자는 권양이 지금 몹시 불안한 상태여서 외래 간호사의 보호 아래 안정을 취하고 있다고 말했다 충격이 가시지 않은 탓인지 권양은 부모 이름을 기억하면서도 엄마아빠를 찾지도 않고 있는 것으로 전해졌다 권양의 부모와 한살 터울 오빠는  일 밤까지도 생사 확인이 되지 않고 있다 권양 고모부가 서울에서 내려왔다 김씨는 아기를 구조한 건 다행이지만 아직 부모와 연락이 닿지 않고 있어 마음이 아프다고 말했다 목포이재욱 기자  연합뉴스 
6,   지방선거를 앞두고 경기 지역 시민사회단체들이 오는  일 경기도 교육감 진보 단일후보를 뽑기로 했다 보수 진영의 후보 단일화 움직임도 빨라지고 있다 진보 후보 단일화를 추진해온   행복한 경기교육희망연대희망연대는  일 단일화 여론조사와  일 시민추진위원회 투표를 거쳐 단일후보를 발표할 예정이라고  일 밝혔다 희망연대는 이날 경기도의회에서 후보 간 정책토론회를 열 예정이었으나 여객선 세월호 침몰 사건으로 안산 단원고 학생들이 참사를 입었다는 소식이 알려지자 토론회를 취소했다 희망연대는 대신 후보자 질문과 발언 등은 서면으로 받아 희망연대 누리집 에 공지하기로 했다 현재 진보 쪽 후보는 권오일 전 에바다학교 교장 이재삼 경기도 교육의원 이재정 전 통일부 장관 최창의 경기도 교육의원 등  명이며 여론조사   시민추진위원 투표  를 합산해 단일후보를 뽑을 예정이다 시민추진위원회에는  만여명이 참여했다 앞서 진보 진영의 서울시 교육감 후보 단일화에 참여한 선거인단 수에 견줘  배나 많을 정도로 참여 열기가 뜨겁다 희망연대의 민진영 집행위원장은  일까지 선거에 참여할 시민추진위 명부를 최종 확정해  일 공고할 예정이다 명부 작성 양식이 어긋나거나 서명이 빠진 경우 등은 명부에서 빼기로 후보자들이 합의했다고 말했다 보수 진영 단일화 기구인 경기 바른 교육감 후보 단일화 추진협의회추진협는  일 오후  시 수원의 한 호텔에서 범도민 출범식을 열고 본격적인 단일화 작업에 나서기로 했다 추진협은 보수 후보들을 상대로 단일화 후보 신청을 접수했는데 조전혁 전 국회의원새누리당을 비롯해  명의 후보가 신청을 했고 나머지  명의 후보도 참여 의사를 전달한 상태다 그러나 보수 후보들 사이에서는 정치인 출신인 조 후보에 대한 사퇴 요구가 나오는 등 진보 쪽에 비해 갈 길이 멀다 권진수 전 인천시 교육감 권한대행 등 보수 후보  명은 이미 두 차례에 걸쳐 의원 시절 전국교직원노동조합 교사 명단을 무리하게 공개해 실정법을 어긴 조전혁 예비후보는 사퇴하라고 요구해 왔다 권 후보 쪽은 추진협에 후보 신청을 하지 않았고 추진협 출범식 참여 여부도 확정되지 않았다고 말했다 최준영 전 한국산업기술대 총장은 일단 출범식에 참석해 정치인 출신 배제 요구를 하고 추진협의 결정을 지켜보면서 보수 후보 단일화 참여 여부를 결정할 예정이라고 말했다 홍용덕 기자  
7,세월호 침몰 사고 생존자사망자 명단해경 발표 
8, 일 전남 진도 인근에서 발생한 세월호 침몰사고와 관련해 국민 안전을 강조해 온 박근혜 정부의 안전 정책이 도마 위에 오르고 있다 박 대통령은 대선 공약으로 국민 안전을 최우선 국정 과제로 제시한 뒤 취임 이후 안전한 한국 사회를 만들겠다며 각종 안전 정책을 추진해 왔다 박근혜 정부는 행정안전부를 안전행정부로 이름부터 바꾼 뒤 지난해  월 말 국민안전종합대책을 발표했다 이후 차관차장급 안전정책조정회의를 신설해 매월 한차례씩 열고 있으며 중앙부처지자체공공기관에 각각 재난안전책임관을 지정해 각종 사고에 대응하도록 조치해 왔다 그럼에도 이런 대형 사고가 터진데다 사고 직후의 허술한 재난구조 시스템 등 정부 대응이 곳곳에서 허점을 드러내 정부의 안전관리가 전시행정에 가까운 것 아니었느냐는 지적이 일고 있다 특히 새누리당 인천시장 예비후보인 유정복 전 안전행정부 장관은 지난  월 일 청와대 업무보고에서 이전 정권에서는 해마다  명 이상 사망하는 대형사고가 발생했지만 지난해에는  년 만에 그런 사고가 발생하지 않았다고 강조하기도 한 것으로 전해진다 그러나 당시 업무보고 뒤 사흘 만에 경주 마우나오션 리조트가 붕괴되면서 신입생 환영회에 참석한 부산외대 학생 등  명이 숨지고  여명이 부상을 입는 참사가 일어났고 그로부터 두 달 만에 여객선이 침몰하는 대형사고가 또 터진 것이다 당시 업무보고에 참석한 정부 당국자는 참석자들 가운데서는 유 전 장관의 자화자찬이 도를 넘었다고 이야기했는데 대형 참사가 연이어 발생했다고 전했다 한편 박 대통령은  일 오후 정부서울청사 중앙재난안전대책본부중대본를 찾아 생존자가  명이라도 있을 것 같으면 그 사람을 구조하기 위해 최선을 다해달라고 지시했다 박 대통령은  일 예정된 공공기관장 회의 등 일정을 모두 취소하고 사고 수습과 대책 마련에 집중하기로 했다 박 대통령은 중대본에서 상황 보고를 받은 뒤 수학여행을 간 학생들이 불행한 일을 당하게 돼서 참으로 참담한 심정이라며 가능한 모든 인력과 장비를 다 동원해 생존자를 구출하는 일에 총력을 기울이고 부상자 치료와 학부모 등 가족들에 대한 편의 제공에도 최대한 세심하게 해달라고 당부했다 김장수 국가안보실장은 사고 이후 청와대 위기관리센터에 상주하며 사고와 구조 현황을 파악하는 등 박 대통령에게 수시로 보고를 했다김경욱 석진환 기자  
9,들뜬 마음으로 수학여행 길에 올랐던 꽃다운  대들이 차디찬 바닷물 속으로 사라졌다 여객선과 함께 생때같은 자식을 집어삼킨 바다를 속절없이 바라보며 엄마 아빠는 가슴을 쥐어뜯었다  일 오전 전남 진도군 앞바다에서  급 여객선 세월호가 침몰해 제주도로 수학여행을 가던 경기 안산 단원고  학년 학생 등  명이 실종됐다 중앙재난안전대책본부는 해양경찰청이 집계한 결과 새벽  시 분 현재 침몰한 여객선의 탑승자  명 중  명이 구조됐고  명이 숨진 것으로 확인됐다고 밝혔다 나머지  명은 생사가 확인되지 않고 있다 배에는 단원고 학생  명과 교사  명이 타고 있었다 사망자는 여객선 직원 박지영 씨와 단원고 학생 정차웅 권오천 임경빈 군 등으로 확인됐다 실종자 중에는 친구들과 함께 설레는 마음으로 배에 오른 학생들이 다수 포함되어 있어 안타까움을 더하고 있다 단원고 학부모들은 한때 전원 구조 소식이 알려지자 반색했다가 학생 실종자가 많다는 사실이 알려지자 진도로 달려가 자식들이 살아 있기만을 빌며 뜬눈으로 밤을 새웠다 해경은 선박이 급격하게 왼쪽으로 기울며 침몰하는 바람에 아래층에 있던 승객들이 빠져나오기 어려웠고 선내에서 움직이지 말고 그대로 있으라는 방송이 여러 차례 나왔다는 생존자들의 증언으로 미뤄 선사 쪽의 초기 판단 잘못 탓에 피해가 커진 것으로 보고 있다 해경은 사고 지점을 중심으로 반경  마일 해역을 수색중이다 해역에 사망자나 생존자의 흔적이 없는 것으로 미뤄 나머지 승객들은 뒤집힌 채 침몰한 배의 선실에 있을 가능성이 높다고 밝혔다 해경은 또 수온이  도 안팎이어서 바다에 빠지면  시간 정도 생존할 수 있다 시간이 갈수록 생존 가능성이 낮아지는 만큼 조명탄을 쏘며 야간 수색을 하는 등 구조활동을 서두르고 있다고 덧붙였다 해경은 학생 등 실종자들이 선실과 식당 매점 등에 남아 있을 것으로 보고 해경특공대 등 잠수사를 투입했지만 조류가 빨라 수색에 어려움을 겪었다 세월호는 이날 오전  시 분께 전남 진도군 조도면 병풍도 북쪽  ㎞ 해상을 지나다 해경에 조난신호를 보낸 뒤 낮  시께 완전히 뒤집힌 채 수심  ｍ 바닷속으로 가라앉았다 사고 원인은 아직 밝혀지지 않았지만 사고 직전 배 앞부분에서 쿵 하는 소리가 났다는 생존자의 증언에 비춰 안개 속에서 암초에 충돌했을 가능성이 제기된다 목포안관옥 기자  
10,침몰한 세월호 안에 상당수 승객들이 갇혀 있는 것으로 보이는 가운데 이들을 구하기 위한 시간과의 싸움이 시작됐다 해난 사고 전문가들은 승객들의 생존 가능성이 있기 때문에 구조에 박차를 가해야 한다고 조언하면서도 조심스럽게 비관론도 내놓고 있다 중앙재난안전대책본부는  일 저녁 현재 탑승객  명 중  명이 생사가 확인되지 않은 상태인 것으로 파악된다고 밝혔다 실종자들 중 일부는 민간 선박에 구조됐으나 그 사실이 집계되지 않았거나 바다에 뛰어들어 구조를 기다리는 상황일 수 있다 하지만 구조된 이들 말을 들어보면 선원들이 승객들에게 자리에서 움직이지 말라고 방송했고 배가 급격히 기운 점 등으로 봤을 때 상당수 승객들이 선박에 갇혀 있을 가능성이 높다 특히 배가 순식간에 왼쪽으로 기울어 그쪽에 실종자들이 몰려 있을 것으로 추정된다 구조된 김성묵씨는 선박회사 쪽에서 위험하니까 자리에서 움직이지 말라고 계속 방송을 해 승객 중에 움직이는 분들이 없었다 물이 너무 빨리 차오르다 보니까 사람들이 미처 문 쪽으로 빠져나올 수 없었다고 말했다 구조의 희망을 안타깝게 저버린  년 전 천안함 사건의 악몽을 떠올리게 하는 대목이다 천안함 사고 때 배 안에 갇힌 장병  명은 모두 사망했다 배 안에 갇힌 실종자들의 경우 선내에 남아 있는 공기로 생존했을 가능성이 있기 때문에 전문가들은 구조에 최선을 다해야 한다고 강조했다 천안함 사고 당시 군은 최대 생존 한계 시간을  시간으로 잡았다 당시에는 선미의 위치를 찾는 시간만도  시간이 걸렸기 때문에 선박의 위치가 명확한 이번 사고의 경우엔 아직 포기하긴 이르다는 이야기다 정동남 대한구조연합회 회장은 뱃머리 쪽으로는 배에 남아 있던 공기가 차 있고 생존자가 있을 가능성이 있어 여기서부터 수색을 시작해야 한다고 말했다 이기원 소방방재청  심해특수구조대원은 배가 크고 격실이 많기 때문에 뒤집혔어도 여기에 공기가 차서 실종자들이 생존했을 가능성이 있다 상황에 따라 야간에라도 수색이 가능하기 때문에 수색에 총력을 기울여야 한다고 말했다 하지만 공기가 남아 있더라도 물이 들어온 곳에 있는 실종자들은 저체온증으로 생존 가능 시간이  시간가량밖에 되지 않을 것이라는 비관론도 있다 사고 지점의 바닷물 표면 온도는 섭씨  도이지만   바닷속 수온은 그보다 낮다  년 잠수 경력을 지닌 노남진 해군 해난구조대 전우회 부회장은 저체온증이 가장 큰 문제인데 체력에 따라  시간가량 버틸 수 있을 것으로 보인다고 말했다 나장균 대한민국 해군 특수전전단 전우회 회장은 천안함 때도 군함은 어뢰 피격에 대비해 선체가 이중으로 돼 있었어도 생존자가 없었는데 일반 선박은 한 겹으로 돼 있어 물이 더 쉽게 들어올 수 있다고 말했다 어둠도 실종자들이 싸워야 할 상대다 진교중 전 해군 해난구조대장은 아무리 담력이 좋더라도 적막하고 어두운 배 안이라는 공포스런 상황에서 낮은 온도를 계속해서 견디기는 어렵다고 말했다 김지훈 기자  
