,x
1, 일 오전 시쯤 전남 진도군 관매도 인근 해상에서 조난 신고를 한 배는 청해진해운 소속 세월호다 세월호는 전장  선폭  총톤수 톤 규모의 여객선으로 정원은 명이다 인천과 제주 간 마일약 ㎞을 시간분 동안 운항하며 최고속도는 노트다 운임은 인당 최저 만원에서 최고 만원이다 사고가 난 세월호에는 안산 단원고 학년 학생 명과 교사 명 등 승객과 승무원을 포함해 총 명이 탑승한 것으로 알려졌다 현재 이 배는 좌현이 도 가까이 기울어져 있고 해경이 경비정과 헬기를 투입해 구조에 나섰다 
2, 사고가 난 여객선 세월호에 타고 있던 안산 단원고등학교 학생 임모군은 과의 전화통화에서 사고 당시쿵 하는 큰 소리가 났고 배가 옆으로 기울기 시작했다며 선생님들과 함께 잠긴 문을 열고 바다에 뛰어내렸는데 보트가 와서 구조해줬다고 말했다 현재 구조된 여명의 학생과 함께 있다는 임군은 배가 기울면서 애들이 많이 넘어졌고 부딪히면서 피가 나고 다친 사람도 생겼다며 배에 물이 차기 시작했고 잠긴 문을 열고 밖으로 나가니까 바다 수면까지 층 높이가 안 돼서 구명조끼를 입은 채 뛰어내렸다고 말했다 임군은 다른 곳에 있던 학생들도 대부분 나와서 바다로 뛰어들었고 구조된 것으로 알고 있다며 지금은 대부분 안정을 되찾은 상태라고 말했다 
3, 전남 진도에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 이런 가운데 중앙재난안전대책본부중대본가 발표한 생존자 숫자가 줄곧 혼선을 빚었다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박모씨와 단원고 학년 정모군이 사망한 것으로 전해졌다 당초 명이 구조된 것으로 알려졌으나 이는 중대본의 착오인 것으로 드러났다 중대본이 오후 시 분 현재 공식 발표한 인명피해 현황은 총 명의 탑승자 중 명 사망 명 구조 명 실종이다 일 오후 인천항을 출발해 제주도로 향하던 세월호에는 수학여행에 나선 안산 단원고등학교 학년 학생 명과 교사 명이 탑승했던 것으로 알려졌다 구조된 탑승객들은 해남종합병원 목포한국병원 중앙병원 등으로 이송됐다 
4, 일 전남 진도 해상에서 여객선 세월호가 침몰해 최소 명이 사망하고 여명이 실종된 가운데 주요 외신들도 일제히 이번 사고를 비중있게 보도했다 은 이번 사고를 혼란스러운 상황이라고 표현하며 대부분의 탑승객이 학생이라고 전했다 와 뉴욕타임스도 헤드라인으로 소식을 전하며 사고 발생 후 많은 시간이 지났지만 실종자가 여전히 수백여명이라는 점에 우려를 표혔다 영국 와 중국 일본 아사히신문 등도 실시간으로 구조자 집계를 보도하며 이번 사고의 추이를 지켜보고 있다 아래는 조선 보도 원문 ☞ 해당 뉴스 조선 영상 보러가기 앵커 외신도 세월호 침몰 소식을 일제히 머리기사로 전했습니다 문경원 기자입니다 리포트 해외 주요 방송사들은 일제히 생방송으로 세월호 사고 소식을 긴급 보도했습니다 녹취 주로 학생들입니다 아직 사고 초기라 정확한 집계는 달라질 수 있습니다 혼란스러운 상황입니다 은 인터넷에서도 차가운 물을 헤치고 구조선까지 헤엄쳐 나온 학생의 이야기를 전하며 살고 싶었다는 제목의 기사를 보도했습니다 등 미국 주요 방송과 뉴욕타임즈 등 주요 신문도 머리기사로 사고 발생 수시간이 지나도록 수백여명이 여전히 실종 상태라며 우려를 표했습니다 영국 는 당국이 한때 구조자 수를 잘못 전하면서 혼란이 일었다고도 보도했습니다 중국과 일본 매체도 아직 많은 승객이 갇힌 것으로 보인다며 구조 상황을 중심으로 집중 보도했습니다 일본 아사히 신문은 한국 군경 뿐 아니라 인근 섬에서 어선들이 구조를 위해 대거 출동했다고 했고 중국 도 실시간으로 구조자 집계를 보도하는 등 전세계가 여객선 침몰과 승객 구조 상황에 촉각을 곤두세우고 있습니다 
5, 전남 진도 해상에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박모씨와 단원고 학년 정모군이 사망한 것으로 전해졌다 현재까지 실종자는 명에 이른다 일 오후 인천항을 출발해 제주도로 향하던 세월호에는 수학여행에 나선 안산 단원고등학교 학년 학생 명과 교사 명 등 명이 탑승했던 것으로 알려졌다 실종자 현황이 속속 파악되면서 년 월 전북 부안군 위도면 위수도 인근 해상에서 침몰한 서해 페리호 사건이 재연되는게 아니냐는 우려가 커지고 있다 서해 페리호는 높은 파도로 인해 전복돼 침몰했고 당시 사고로 명이 사망했다 
6, 전남 진도 해상에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박모씨와 단원고 학년 정모군이 사망한 것으로 전해졌다 현재까지 실종자는 명에 이른다 일 오후 인천항을 출발해 제주도로 향하던 세월호에는 수학여행에 나선 안산 단원고등학교 학년 학생 명과 교사 명 등 명이 탑승했던 것으로 알려졌다 실종자 현황이 속속 파악되면서 년 월 전북 부안군 위도면 위수도 인근 해상에서 침몰한 서해 페리호 사건이 재연되는게 아니냐는 우려가 커지고 있다 서해 페리호는 탑승 가능 인원을 초과해 승객을 태운 데다 높은 파도로 인해 항해 중 전복됐다 당시 사고로 명이 사망했다 
7, 전남 진도에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박지영씨와 단원고 학년 정차웅군이 사망한 것으로 전해졌다 현재까지 실종자는 명으로 알려졌다 일 오후 인천항을 출발해 제주도로 향하던 세월호에는 수학여행에 나선 안산 단원고등학교 학년 학생 명과 교사 명 등 명이 탑승했던 것으로 알려졌다 한편 사고현장에선 해경과 해군 함정 척관공선 등 척이 해상에서 헬기 대가 상공에서 수색 작업을 벌이고 있다 해군과 해경 잠수요원 명은 수중 수색에 나섰지만 시계가 좋지 않고 조류가 센 탓에 구조 작업에 난항을 겪고 있다 미 해군 함대도 일 오후 여객선 세월호가 침몰한 전남 진도 해상으로 상륙강습함 본험리차드호를 투입했다 상륙강습함은 헬리콥터 항공모함의 한 유형으로 군사작전시 적의 영토에 지상군을 투입시키는 상륙작전을 할 때 사용되는 군함이다 구조된 탑승객들은 해남종합병원 목포한국병원 중앙병원 등으로 이송됐다 
8, 전남 진도에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박모씨와 단원고 학년 정모군이 사망한 것으로 전해졌다 현재까지 실종자는 명에 이른다 일 오후 인천항을 출발해 제주도로 향하던 세월호에는 수학여행에 나선 안산 단원고등학교 학년 학생 명과 교사 명 등 여 명이 탑승했던 것으로 알려졌다 해군과 해경은 유도탄고속함 척 고속정 척 링스 헬기 등을 사고 해안으로 출동해 구조 작업을 진행 중이다 미 해군 함대도 일 오후 여객선 세월호가 침몰한 전남 진도 해상으로 상륙강습함 본험리차드호를 투입했다 상륙강습함은 헬리콥터 항공모함의 한 유형으로 군사작전시 적의 영토에 지상군을 투입시키는 상륙작전을 할 때 사용되는 군함이다 구조된 탑승객들은 해남종합병원 목포한국병원 중앙병원 등으로 이송됐다 
9, 일 오전 전남 진도군 관매도 인근 해상에서 침몰 중인 여객선은 인천과 제주도를 오가는 청해진해운의 대형 선박 세월호급다 세월호는 제주도로 향하는 대표적인 카페리여객과 자동차를 싣고 운항하는 배로 지난 년 운항을 시작해 매주 차례 인천과 제주도를 오가며 운항해왔다 정원 명 차량 대  트럭 대 컨테이너 개를 실을 수 있는 대형 선박이다 매주 화요일과 목요일 저녁 시 분 인천을 출발하는 세월호는 다음날 오전 시 제주도에 도착하는 일정으로 운항된다 선박 내부에는 객실 뿐 아니라 게임룸 샤워실 레스토랑 등 편의 시설이 갖춰져 있다 세월호의 침몰 이유는 아직 밝혀지지 않았으며 현장에서는 지속적인 구조작업이 이루어져 오전 시 현재 전체 명 승객 중 명 가량이 구조된 것으로 전해졌다 
10, 일 오전 전남 진도군 관매도 인근 해상에서 침몰 중인 여객선은 인천과 제주도를 오가는 청해진해운의 대형 선박 세월호급다 세월호는 제주도로 향하는 대표적인 카페리여객과 자동차를 싣고 운항하는 배로 지난 년 운항을 시작해 매주 차례 인천과 제주도를 오가며 운항해왔다 정원 명 차량 대  트럭 대 컨테이너 개를 실을 수 있는 대형 선박이다 매주 화요일과 목요일 저녁 시 분 인천을 출발하는 세월호는 다음날 오전 시 제주도에 도착하는 일정으로 운항된다 청해진해운 측은 세월호를 국내 최대 크루즈 선박이라고 홍보하고 있다 선박 내부에는 객실 뿐 아니라 게임룸 샤워실 레스토랑 등 편의 시설이 갖춰져 있다 세월호의 침몰 이유는 아직 밝혀지지 않았으며 현장에서는 지속적인 구조작업이 이루어져 오전 시 현재 전체 명 승객 중 명 가량이 구조된 것으로 전해졌다 
11, 전남 진도에서 발생한 여객선 세월호 침몰 사고로 현재까지 단원고 학년 학생을 포함 명이 사망한 것으로 알려졌다 일 오전 시 분쯤 청해진해운 소속 여객선 세월호가 전남 진도군 관매도 인근 해상에서 침몰해 오후 시 분 현재 선사 여직원 박지영씨와 단원고 학년 정차웅군이 사망한 것으로 전해졌다 현재까지 실종자는 명에 이른다 박씨는 시신 상태로 발견됐으며 정군은 의식이 없는 상태로 구조된 후 응급처치를 받다 숨졌다 당초 중앙재난안전대책본부는 명이 구조됐다고 밝혔지만 착오였던 것으로 확인됐다 사고 선박엔 총 명이 탑승했으며 이 중 안산 단원고 학생이 명 교사가 명이었으며 일반 승객 명과 승조원 명이 탄 것으로 알려졌다 한편 사고현장에선 해경과 해군 함정 척관공선 등 척이 해상에서 헬기 대가 상공에서 수색 작업을 벌이고 있다 해군과 해경 잠수요원 명은 수중 수색에 나섰지만 시계가 좋지 않고 조류가 센 탓에 구조 작업에 난항을 겪고 있다 현재 사고여객선은 최초 사고지점에서 마일 정도 떠내려간 상태로 선체는 뻘 바닥에 걸려서 움직이지 못하고 뱃머리만 물 밖으로 나와 있는 상태다 
