,x
1,세월호 침몰사고 발생 나흘째인  일 해경이 선체 내부 수색에 총력을 쏟았으나 기적은 없었다잠수사들이 선체에 접근 시도하는 횟수는 늘었지만 선체 수색에는 실패했다 진입시도 공기주입이 재개 중단을 거듭했다해경은 함정  척 항공기  대를 동원해 해상을 수색하고 수중 가이드라인  개도 설치했지만 강한 조류와 기상 악화로 수색은 차질을 빚고 있다◇ 조명탄채낚기 어선 환하게 붉 밝혀 민간잠수사  명이 해경 경비함에 올라타 선체 수색을 시도했지만 실패했다날이 어두워지자 해경은 모두 네차례에 걸쳐  발의 조명탄을 쏴 야간 수색을 벌이고 선내 진입도 계속 시도하고 있다조명탄의 빛으로도 어둠을 뚫기 힘들자 채낚기 어선조명으로 어류를 유인하는 어선  척여수 척 남해 척도 현장에 도착해 조명을 밝혀 잠수사를 돕고 있다해경은 이날 시신  구를 추가로 인양했다 모두 구명조끼를 착용한 여성들이었다이에 따라 사망자는  명으로 늘었으며  명이 실종  명이 구조된 것으로 집계됐다◇ 격실 안에 사망자  명창 너머 확인 구조대는 오전  시  분께  층 격실에 사망자  명이 있는 것을 발견했다구조대는  층에서  층으로 올라가는 계단 통로를 확보하는 과정에서 유리창을 통해  층 격실에서  명이 구명조끼를 입은 채 숨져 있는 것을 육안으로 확인한 것으로 알려졌다그러나 유리창이 깨지지 않아 진입에는 실패를 거듭하고 있다 해경은 밤새 유리창을 깨고 진입하기 위해서 잠수사를 교대로 투입하며 고군분투하고 있다창 너머로 확인된 시신은 사망자수 공식 집계에는 포함되지 않았다◇ 세월호 기름 유출수색방제 이중고사고 해상에는 세월호에서 유출된 기름이 확산됐다 전날까지 듬성듬성 보이던 엷은 유막은 진한 기름띠로 변했다해경은 사고 지점에서 북서쪽으로 유막이 퍼지는 것을 확인하고 방제정  척을 동원했다세월호에는 벙커유  ㎘ 경유  ㎘가 적재된 것으로 해경은 보고 있다현장에는 시신 유실 가능성에 대비해 그물망이 설치되기도 했다◇ 선장 등 승무원  명 구속 명 추가 소환승객들을 두고 먼저 탈출한 선장 등 상급 승무원  명이 구속된 가운데 검경 합동수사본부는 승무원  명을 추가 소환해 조사했다수사본부는 항해사 조타수 기관사 등  여명을 조사 대상으로 올려 순차적으로 소환해 조사할 계획이다또 갑판에서 객실과 식당 등을 관리하는 승무원들도 참고인 신분으로 소환할 예정이다이성윤 수사본부장 등 관계자들은 회의를 열고 조사 대상 범위와 신병 처리 적용 혐의 등을 논의했다수사본부의 한 관계자는 일단은 운항에 관여한 승무원들을 조사해 업무 성격에따라 과실이 있는지 판단하겠다며 구속 등 처벌 수위는 이후에 결정하겠다고 말했다진도연합뉴스 
2,세월호 침몰 사고 당시 조타 지휘를 맡았던  등 항해사 박아무개 여씨가 당시 규정대로 운항했다고 진술한 것으로 알려졌다 일 수사관계자와 세월호 승무원 등의 말을 종합하면 박씨는 사고 당시 평소 속도로 방향 전환변침을 했다고 진술했다 또 사고가 난 맹골수도에서 여러 차례 조타 지휘를 한 적이 있다고 진술한 것으로 전해졌다실제 박씨는 맹골수도 조타 지휘가 인천에서 제주행은 처음이었지만 제주에서 인천행은 여러 차례 경험한 것으로 확인됐다 생존 승무원들도 박씨가 인천으로 갈 때 조타 지휘를 맡은 적이 여러 차례 있다고 말했다박씨는 사고의 충격으로 검경 조사에서 진술을 거의 못할 정도로 공황상태에 빠졌으며 전날 영장실질심사 때는 한 차례 실신하기도 했다 하지만 세월호 침몰 사고 검경 합동수사본부는 선장 이아무개 씨와  등 항해사 박씨 등  명의 구속영장에서 속도를 줄이지 않고 무리한 방향 전환변침을 시도해 선박을 침몰시켜 다수의 사상자가 발생하게 한 혐의가 있다고 밝혔다 사고 원인이 운항 과실에 있다는 데 무게를 두고 있음을 엿볼 수 있는 대목이다목포안관옥 기자  
3,여객선 세월호 침몰사고와 관련 선장 등 승무원  명이 구속된 가운데 사고 단초가 무리한 항로변경에 있었던 것으로 확인되고 있다이와는 별개로 승선에서 하선 때까지 모든 책임을 져야 하는 선장의 이해 못 할행동이 상상을 초월한 인명피해를 부른 것으로 드러나고 있다검경 합동수사본부 수사 내용과 구속된 선장 항해사의 진술 해양전문가의 의견 등을 토대로 사고 당시 상황을 재구성했다승객 등  명을 태운 세월호가 인천항을 떠난 지  시간여 만에 전남 진도군 조도면 맹골수도孟骨水道를 막 지나 병풍도 북쪽 해상에 이른 시각은 지난  일 오전  시  분께운항 경력  개월째 입사  개월이 채 되지 않은 항해사 박모 여씨와 조타수 조모 씨의 눈앞에는 거센 물살이 넘실거렸다안개로  시간 가량 출발이 늦어지지 않았다면 이 구간은 베테랑인  등 항해사가맡을 구간이지만 선사측이 이를 조정하지 않은 바람에 지금껏 한번도 이 구간을 운항한 경험이 없는 박씨가 맡게 됐다평소에도 소용돌이가 발생하는 이 구간은 이날 막 사리 일를 지난 데다 썰물때와 맞물려 물살이 더 거셌다물살 거세기로 이름난 맹골수도 항로에서 박씨는 조타수에게 방향전환을 지시했다 이곳은 병풍도를 끼고 제주를 향해 뱃머리를 오른쪽으로 돌리는 변침점變針點이기에 반드시 방향을 전환해야 한다조타수 조씨는 지난  일 오전 구속 전 진술에서 항해사 지휘에 따라 평소대로조타키를 돌렸다 하지만 평소보다 많이 돌아갔다고 말했다조씨는 내가 실수한 부분도 있지만 조타키가 유난히 빨리 돌았다고 말했다이는 일반적인 항로에서 보통  도 안팎의 조타륜조타키 조정이 이뤄진 점을 감안하면 이보다 작게 돌리지 않고  도 이상 돌렸다는 의미로도 해석된다세월호는 또 평소 협로에서 운항하는 속도와 비교해 더 가속한 것으로 알려졌다직선구간에서는  노트 협로에서는  노트로 운항하게 돼 있지만 이를 지키지 않았다는 의혹이 이는 대목이다이는 조타수가 조타키가 유난히 빨리 돌았다말과도 무관하지 않다해운업계에 종사한 한 베테랑 조타수는 속도가 느릴 때보다 빠를 때 키가 잘돈다고 전했다검경 합동수사본부는 이 대목에서 항해사와 조타수의 결정적 실수가 있었던 것으로 판단하고 있다수사본부도 이들의 혐의로 운항속도를 줄이지 않고 무리한 변침을 해 선박을 침몰시킨 점을 적시했다김삼열 전 목포지방해난안전심판원장은  일 뱃머리를 심하게 꺾는 과정에서 거센 물살 저항을 많이 받았을 것이다며 순간 배가 휘청거리고 복원되지 않자 당황해 조타기를 더 무리하게 조작한 것으로 보인다고 말했다진도 해상관제센터에서 확인된 항적에도 세월호는 계속해서 우현 변침으로조작했으나 뜻과는 반대로 좌현으로 계속 쏠렸다세월호는 정상적인 방향에서 무려  도나 틀어졌다 뱃머리가 오던 방향으로 거꾸로 되돌려진 상태로 사실상 추진동력을 잃었다배가 좌현으로 밀리면서 제대로 결박되지 않은 화물 차량 등이 쏟아지고 세월호는 급속히 기울기 시작했다많은 승객들이 배가 기우뚱한 뒤 쿵하는 소리가 났다는 진술도 이를 뒷받침하는 대목이다해양 전문가들도 세월호가 외부 충격에 의해 침몰한 것이 아닌 만큼 선체에는 파공破孔 흔적은 없을 것으로 보고 있다박씨 등도 항로에는 어선 등 외부적인 위험상황이 없었다고 진술한 것으로 알려졌다여기에다 국민들의 공분을 산 것은 사고 전후 세월호 선장 이준석 씨의 행적이다수사결과 이씨는 맹골수도 항행을 박씨에게 맡기고 자신은 선실에서 쉬고 있었다 탈출 당시 입고 있는 반바지 차림은 이를 잘 보여준다 시간 배를 책임져야 하는 선장의 가장 기본적인 의무와는 거리가 한참 멀다배가 기우뚱하자 당황한 채 조타실에 뛰어온 선장은 우왕좌왕 시간만 허비하다 수백여명의 승객들은 선실에 남긴 채 자신만 빠져나왔다이씨는 구속 전 진술에서 승객에게 대기하라고 한 이유는 조류가 빠르고 수온도 차고 주변에 인명 구조선이 없어서 그랬다고 변명했다서둘러 유보갑판 등으로 대피하라는 말만 했어도 수백명이 사망 또는 실종하는 참사는 결코 없었을 것이라는 것이 관계 전문가들의 한결같은 견해이다진도연합뉴스 
4,프란치스코 교황이  일현지시간 공식 트위터계정을 통해 한국 진도 여객선 침몰 사고에 대해 위로의 뜻을 밝혔다교황은 이날 한국의 여객선 참사 희생자와 가족들을 위한 기도에 동참해 달라는 글을 올렸다교황의 트위터 계정에 등록한 팔로워는 현재  만명에 이른다앞서 교황청 국무원은 여객선 침몰 사고가 발생한 지 하루만인 지난  일 한국천주교 주교회의를 통해 침몰사고의 희생자 유가족과 실종자 가족에게 위로를 표한 바 있다교황은 박근혜 대통령과 한국천주교의 초청으로 오는  월 일부터  일간 한국을 찾을 계획이다 교황의 한국 방문은 요한 바오로  세가 지난  년 방한한 이후  년 만에 처음 있는 일이다서울연합뉴스 
5,안산 단원고 학생들이 대거 탑승한 진도 여객선 침몰사고로 온국민이 침통한 분위기에 휩싸인 가운데 새누리당에서 헹가래 선거운동과 폭탄주 술자리가 잇따라 터져나와 논란이 일고 있다여야는 이번 참사와 관련해   지방선거와 관련한 행사를 일시 중단하고 음주 자제령을 내린 바 있다 일 보도를 보면 지난  일 파주 운정행복센터에서 열린 파주시장 예비후보박재홍조병국이용근이재홍 합동연설회에서 후보자들이 환하게 웃으며 손을 흔들어 지지를 호소했고 지지자들은 막대풍선을 열광적으로 두드리며 후보자 이름을 연호했다 특히 파주신문이 보도한 동영상에는 연설이 끝난 뒤 일부 지지자들이 히히덕거리거나 후보자를 헹가래 치는 등 과도한 모습이 고스란히 카메라에 담겼다이날 합동연설회는 세월호 침몰로 사망자와 실종자가 수백명 발생했다는 소식이 전해진 뒤인 오후  시부터 열렸다 그러나 파주시장 후보자와 지지자들은 이런 충격적인 소식에도 아랑곳 않고 축제 분위기에 들떠 있었다 이재홍 후보는 연설 서두에 말씀에 앞서 오늘 어려운 일을 당하신 안산 단원고 실종자들과 그 가족들에게 안타까운 마음을 전하며 빠른 구조와 건강회복을 바란다는 말을 한 것을 보면 이날 후보자와 지지자들은 참사 소식을 이미 알고 있었던 것으로 파악된다 나머지 후보들은 세월호 참사에 대한 안타까움이나 애도의 표현조차 일절 없었다이와함께 세종시장 후보로 선출된 유한식 현 시장은 지난  일 밤 폭탄주 술자리에 참석한 것으로 알려졌다 보도를 보면 유 시장은  일 밤 세종시당 청년당원  여명이 모인 저녁 자리에 세종시교육감 선거에 출마한 홍순승 전 세종교육청 교육정책국장과 함께 참석했으며 이 자리에서 폭탄주가 돌았고 유 시장에 대한 건배사도 나온 것으로 전해졌다 그러나 유 시장은 저녁 자리에 들른 사실은 인정하면서도 폭탄주에 대해서는 부인하고 있는 것으로 알려졌다새누리당 지도부는  일 오전 이런 내용의 제보가 접수되자마자 내부 회의를 거쳐 이번 사안을 즉각 당 윤리위원회위원장 경대수 의원에 회부했다 앞서 새누리당과 새정치국민연합 등 정치권은 세월호 침몰 참사와 관련해 음주자제령을 내리고 선거 일정 중단을 발표하는 당원들의 올바른 처신을 당부한 바 있다김동훈 기자  파주신문 동영상 캡처   
6,뉴욕타임스  월스트리트저널 환구시보 등 주요 외신들은 세월호 침몰 사고를 인재 로 바라보며 감독기관 등 정부의 사고 대처 능력 부족을 비판했다 뉴욕타임스는  일 세월호 침몰에 희망이 사라지면서 인재의 혐의가 짙어지고 있다는 제목의 기사에서 전문가의 분석을 인용해 이번 참사는 안전 교육이 이뤄지지 않아 벌어진 사건이며 관리 당국에 책임이 있다고 밝혔다 선장이 가장 먼저 달아난 이 중 하나였다라고 시작한 이 기사는 구조가 시작된지 이틀이 지나서야 배가 바다에 거의 잠기고 난 뒤에 수색대들이 바다로 들어갔으며 그때까지 살아있을 지도 모를 생존자 구조를 위해 선체로 공기를 주입한 것은 이번 사고가 인재라는 걸 보여주는 증거라고 지적했다 기사에서 미국 사고 조사 전문가인 제임스 셜리 주니어는 사고 직후부터 배가 가라앉을 때까지는  시간 반이나 남아 있었는데 그 긴 시간 왜 승객들에게 객실에 머무르라고 지시했는지 이해할 수 없다고 말했다 또 해양안전 전문가인 윌리엄 도허티 대위는 감독 당국이 안전 검사 합격증을 발급해줄 때는 승무원들이 비상 상황에 대비한 훈련을 받았다는 것까지 확인해야 한다면서 이번 참사는 안전교육이 제대로 이뤄지지 않았다는 걸 잘 보여준다고 말했다은 간판앵커 앤더슨 쿠퍼의 뉴스쇼 앤더슨 쿠퍼   에서 세월호 침몰 사고는 인재라는 것을 명백하게 밝혔다 이 뉴스쇼는 해양안전문가인 제임스 스테이플스 선장과 인터뷰하며 사고 원인 및 승무원들의 부적절한 행동 등을 분석했다 스테이플스 선장은 구명보트 중 어느 하나도 제대로 사용되지 않고 그대로 묶여 있는 것을 봤는데 이는 승무원이 제대로 훈련받았는지 의문을 낳는다면서 구조 훈련의 부재가 낳은 비극이라고 말했다 월스트리트저널 한국판 블로그도 세월호 침몰 사고에 대처하는 한국 정부의 안일한 태도가 온라인을 통해 실시간으로 생생하게 전달되고 있다면서 보도했다 이밖에도 주요 방송과 통신사들이 일제히 인명 피해를 키운 선사측의 초기 대응과 정부의 부실한 대처에 대해 비판했다 중국 인민일보 자매지 환구시보 역시 세월호 침몰사고는 한국의 현대화 수준을 묻는 시험이라고 지적했다 환구시보 영문판은  일자 발전된 국가도 안전 위기에 직면한다라는 사설에서 많은 이들이 한국처럼 현대화한 국가의 해상 안전 실태와 긴급 대응이 왜 생각했던 것보다 훨씬 뒤떨어졌는지 의문을 품고 있다며 지적했다 이 신문은 한국은 세계적인 조선산업을 보유하고 있으며 생활 수준도 선진국과 큰 차이 없는데 엄청난 희생자를 내지 않을 수도 있는 사건에서 수백 명의 학생이 사망실종했다는 것은 믿기 어려운 사실이라면서 이런 위기에 대처하는 모습은 선진국과는 거리가 멀었다 꼬집었다온라인뉴스팀 
7,제발 살아와달라는 전국민적 염원에도 세월호 사망자 수만 늘어갈 뿐 생존자는 나오지 않고 있다 총 사망자는  명으로 늘어났다 여객선 세월호 침몰사고 범정부사고대책본부는  일 오후  시 진도군청에서 열린 공식 브리핑을 통해 오후  시 분께 여상 사망자  명이 사고해역   부근에서 해경  함에 의해 발견됐고  시 분에도 여성 주검이 수습됐다고 밝혔다 이어 저녁  시 분 여성 주검  구가 해경  함 단정에 의해 추가 발견됐다 이로써  명의 승선 인원 중 구조  명 실종  명 사망  명으로 중간 집계됐다 고명석 해양경찰청 장비기술국장은 금일 함정  척 항공기  대를 동해 해상수색을 실시했고 수중 가이드라인을 금일 오전  시 시에 걸쳐  개를 설치했다 그후 강한 조류와 기상불량으로 인해 수중수색에 상당한 제약을 받았다고 밝혔다 그는 또 야간수색 구조활동을 위해 일몰부터 다음날 날이 밝을 때까지 총  차례  발의 조명탄을 투하할 방침이라고 설명했다 대책본부는 저인망 어선  척을 투입해 시신유실에 대비하고 있고 야간조명 지원을 위해 채낚기  척여수  척 남해  척이 순차적으로 사고현장으로 이동 중이라고 덧붙였다 대책본부는 이날 오후까지 선내 수색을 시도했으나 성공하지 못하다가 오후  시부터  시 분 사이 잠수사  개조  명을 투입해 선체를 수색 중이라고 밝혔다 고 국장은 그물망 설치와 관련해서는 저인망 투입과 병행하려고 했는데 침몰선 주위가 암반으로 돼 있어 바닥에 그물망 고정시키야 하는데 사실상 힘들다고 부정적으로 답했다 박승기 해양수산부 대변인은 앞선 브리핑에서 희생자 이동 안치 장례 예우 등 준비사항에 대해 총괄관리는 안전행정부가 임시 안치와 사망확인 및 장례 지원은 보건복지부가 맡기로 했다고 밝혔다 해양경찰청은 희생자 정보를 피해가족에게 신속히 전파한 뒤 신원확인과 협의를 거쳐 운구방법을 결정하도록 했다진도김경무 선임기자   
8, 일 세월호 침몰 나흘째를 맞고 있지만 정부의 공식 발표가 여전히 혼선을 빚으면서 실종자 가족들을 분노케 하고 있다정홍원 국무총리는 이날 오전  시 세월호 침몰 사고와 관련 정부가 승선자 구조자 수색 상황 발표를 수차례 번복한 데 대해 사과하고 혼선을 없애기 위해 진도군청 팽목항 실내체육관에서 동시에 브리핑을 하겠다고 밝혔다그러나 정 총리의 사과는  시간 만에 공염불에 그쳤다김석균 해양경찰청장은 이날 오후  시 전남 진도 실내체육관에서 실종자 가족들을 상대로 브리핑을 열어 선체에 가이드 라인  개를 설치했다고 밝혔다그러나 불과  시간 만에 같은 곳에서 최상환 해양경찰청 차장은  개에서  개로 정정했다수색에 나선 잠수사들이 해저로 내려갈 때 이들을 지켜주는 건 가이드 라인이다가이드 라인  개를 타고  명씩 해저에 내려가 선체 수색이 가능하다 설치된 가이드 라인이 많을수록 더 많은 잠수사가 선체 수색을 할 수 있다이날 오전  ∼ 시 가이드 라인을 설치했다고 발표한 해경은  ∼ 시간 만에 청장은  개로 차장은  개로 발표한 것이다 해경은 또 정오께 실내체육관에서 브리핑을 열어 선내 진입을 하지 못했다고 밝혀 가족들의 거센 항의를 받았다해경은 이날 오전  시  분께 선체  ∼ 층 계단 통로를 확보하는 과정에서 유리창을 통해 객실로 추정되는 곳에서 사망자  명을 발견했다고 발표했다잠수사들이 선체 밖에서 창 너머로 시신을 목격했는데 가족들은 계단선내로 민감하게 받아들인 것으로 보인다진도연합뉴스 
9,제발 살아와달라는 전국민적 염원에도 세월호 사망자 수만 늘어갈 뿐 생존자는 나오지 않고 있다여객선 세월호 침몰사고 범정부사고대책본부는  일 오후  시 진도군청에서 열린 공식 브리핑을 통해 현재 총  명의 사망자 시신이 수습됐다고 밝혔다 이날 오후  시 분께 여상 사망자  명이 사고해역   부근에서 해경  함에 의해 발견됐고  시 분에도 여성 주검이 수습됐다 이로써  명의 승선 인원 중 생존자  명 실종  명 사망  명으로 중간 집계됐다고명석 해양경찰청 장비기술국장은 금일 함정  척 항공기  대를 동해 해상수색을 실시했고 수중 가이드라인을 금일 오전  시 시에 걸쳐  개를 설치했다 그후 강한 조류와 기상불량으로 인해 수중수색에 상당한 제약을 받았다고 밝혔다 그는 또 야간수색 구조활동을 위해 일몰부터 다음날 날이 밝을 때까지 총  차례  발의 조명탄을 투하할 방침이라고 설명했다대책본부는 저인망 어선  척을 투입해 시신유실에 대비하고 있고 야간조명 지원을 위해 채낚기  척여수  척 남해  척이 순차적으로 사고현장으로 이동 중이라고 덧붙였다 대책본부는 이날 오후까지 선내 수색을 시도했으나 성공하지 못하다가 오후  시부터  시 분 사이 잠수사  개조  명을 투입해 선체를 수색 중이라고 밝혔다 고 국장은 그물망 설치와 관련해서는 저인망 투입과 병행하려고 했는데 침몰선 주위가 암반으로 돼 있어 바닥에 그물망 고정시키야 하는데 사실상 힘들다고 부정적으로 답했다박승기 해양수산부 대변인은 앞선 브리핑에서 희생자 이동 안치 장례 예우 등 준비사항에 대해 총괄관리는 안전행정부가 임시 안치와 사망확인 및 장례 지원은 보건복지부가 맡기로 했다고 밝혔다 해양경찰청은 희생자 정보를 피해가족에게 신속히 전파한 뒤 신원확인과 협의를 거쳐 운구방법을 결정하도록 했다진도김경무 선임기자   
10,제발 살아와달라는 전국민적 염원에도 세월호 사망자 수만 늘어갈 뿐 생존자는 나오지 않고 있다 총 사망자는  명으로 늘어났다 여객선 세월호 침몰사고 범정부사고대책본부는  일 오후  시 진도군청에서 열린 공식 브리핑을 통해 오후  시 분께 여상 사망자  명이 사고해역   부근에서 해경  함에 의해 발견됐고  시 분에도 여성 주검이 수습됐다고 밝혔다 이어 저녁  시 분 여성 주검  구가 해경  함 단정에 의해 추가 발견됐다 이로써  명의 승선 인원 중 구조  명 실종  명 사망  명으로 중간 집계됐다고명석 해양경찰청 장비기술국장은 금일 함정  척 항공기  대를 동해 해상수색을 실시했고 수중 가이드라인을 금일 오전  시 시에 걸쳐  개를 설치했다 그후 강한 조류와 기상불량으로 인해 수중수색에 상당한 제약을 받았다고 밝혔다 그는 또 야간수색 구조활동을 위해 일몰부터 다음날 날이 밝을 때까지 총  차례  발의 조명탄을 투하할 방침이라고 설명했다 대책본부는 저인망 어선  척을 투입해 시신유실에 대비하고 있고 야간조명 지원을 위해 채낚기  척여수  척 남해  척이 순차적으로 사고현장으로 이동 중이라고 덧붙였다 대책본부는 이날 오후까지 선내 수색을 시도했으나 성공하지 못하다가 오후  시부터  시 분 사이 잠수사  개조  명을 투입해 선체를 수색 중이라고 밝혔다 고 국장은 그물망 설치와 관련해서는 저인망 투입과 병행하려고 했는데 침몰선 주위가 암반으로 돼 있어 바닥에 그물망 고정시키야 하는데 사실상 힘들다고 부정적으로 답했다박승기 해양수산부 대변인은 앞선 브리핑에서 희생자 이동 안치 장례 예우 등 준비사항에 대해 총괄관리는 안전행정부가 임시 안치와 사망확인 및 장례 지원은 보건복지부가 맡기로 했다고 밝혔다 해양경찰청은 희생자 정보를 피해가족에게 신속히 전파한 뒤 신원확인과 협의를 거쳐 운구방법을 결정하도록 했다진도김경무 선임기자   
