,x
1, 세월호의 쌍둥이배로 불리는 청해진해운의 또다른 여객선 오하마나호號의 승객 탈출용 안전장비도 제대로 작동하지 않는 것으로 드러났다 검경 합수부는 일 전날 오하마나호에 대한 압수수색을 실시해 검증해 본 결과 구명벌과 안전슈트긴 풍선 형태의 탈출용 미끄럼틀 등 안전장비 대부분이 제대로 작동하지 않았다고 밝혔다 안전장비를 형식적으로 설치만 해놓았 뿐 비상상황 발생시 승객이 바다에 뛰어들어도 이용할 수 없는 상태라는 것이다 이같은 사실은 침몰한 세월호의 구명벌과 안전슈트 등 안전장비 역시 엉터리로 관리돼 제대로 작동하지 않았을 것이라는 방증으로 받아들여지고 있다 세월호와 같은 선사船社인 청진해운 소속의 오하마나호는 세월호처럼 인천제주 구간을 운항하고 규모 구조까지 비슷해 세월호의 쌍둥이배로 불린다 합수부는 세월호와 오하마나호 구명벌안전슈트의 납품 과정 선사와 선원들의 안전장비 관리 등에 심각한 문제가 있었을 것으로 보고 선장과 선원 업체 관계자들을 대상으로 조사를 진행 중이다 합수부는 또 해양수산부와 해양경찰 등 구명벌 관련 검사를 민간업체에 위탁하는 기관들도 직무유기 등 문제점이 드러날 경우 사법처리할 방침이다 한편 오하마나호도 세월호처럼 무리한 구조변경을 했다는 의혹이 커지고 있다 년 일본 미쓰비시三菱중공업이 건조한 오하마나호는 년 청해진해운이 들여와 인천제주 노선에 투입했다 일본에서 운항할 당시 오하마나호의 여객 정원은 명 컨테이너는 개까지 적재할 수 있었다 총 톤수는 이었다 하지만 청해진해운이 이 배를 국내에 도입하면서 총톤수는 으로  줄였지만 여객정원은 명에서 명이 늘어난 명이 됐다 배를 수직 증축해 여객정원을 명 늘린 세월호보다 더 많은 숫자다 오하마나호는 내부 객실 개조만을 통해 여객정원을 늘린 것으로 알려졌다 화물을 선적할 수 있는 재화중량화물 총중량도 크게 늘었다 개로 제한됐던 컨테이너 화물을 개까지 선적할 수 있도록 선사 측이 조선소를 통해 배의 구조를 변경한 것이다 이처럼 선박을 증축하지 않고도 내부 공간 만을 활용해 정원을 늘리고 재화중량을 늘린 것에 대해 한국선급이 제대로 검사를 했는지 문제 또한 불거졌다 전문가들은 경영난에 시달리던 청해진해운이 여객과 화물을 더 싣기 위해 무리하게 과적과 증축을 계속했고 이 때문에 선박 복원력이 떨어진 상태에서 무게 중심을 잃어 세월호가 침몰했을 가능성에 무게를 두고 있다 
2, 한국을 공식 방문한 버락 오마바 미국 대통령이 세월호 참사로 수많은 학생들이 희생실종된 안산 단원고등학교에 보내달라며 백악관 목련 묘목과 위로 메시지를 청와대에 전달했다 또 세월호 사고 희생자들에 대한 애도의 징표 로 사고 당일 백악관에 게양됐던 성조기를 박근혜 대통령에게 전했다 박 대통령과의 정상회담 시작에 앞서 세월호 희생자와 실종자들을 위한 묵념을 제의 초간 묵념을 함께 하기도 했다 오바마 대통령은 박일 방한 첫날인 일 오후 청와대에서 박 대통령과 정상회담을 갖기에 앞서 세월호 사고에 대한 위로의 징표로 백악관 목련 묘목과 함께 애도의 문구가 담긴 증서를 전했다 이 증서에는 세월호 사고에 깊은 애도를 표하며 어려운 시기에 미국이 한국과 함께 하고 있다는 것과 한국을 우리의 동맹국이자 친구라고 부를 수 있다는 긍지를 가지고 있음을 전달하고자 한다는 내용이 담겨 있다고 청와대는 밝혔다 오바마 대통령은 백악관 목련 묘목과 함께 안산 단원고등학교에 보낸 메시지에서 세월호 사고로 목숨을 잃은 수백명의 학생들과 선생님들을 애도하며 희생된 학생 대다수가 공부하던 단원 고등학교에 백악관의 목련 묘목을 바칩니다라고 위로의 뜻을 전했다 백악관 목련 나무는 제대 미국 대통령인 앤드류 잭슨이 먼저 세상을 떠난 아내를 기려 집에서 가져온 목련 싹을 심은 것으로 년대 중반부터 백악관 잔디밭을 장식해왔다 년부터 년까지는 달러 지폐의 뒷면에 백악관 남서부 쪽에 홀로 서 있는 잭슨 목련의 그림이 새겨지기도 했다 목련의 꽃말은 고귀함이다 오바마 대통령은 박 대통령과의 회담을 통해 한국 국민이 깊은 비탄에 빠져 있는 시기에 방문한 것을 잘 알고 있다며 미국 국민을 대표해 깊은 애도의 뜻을 표하고자 한다고 밝혔다 오바마 대통령은 이어 한국의 동맹국으로서 그리고 친구로서 이런 큰 희생자와 실종자가 난데 대해 깊은 애도를 표한다며 특히 한국의 힘과 미래를 대표하는 젊은 사람들이 많은 피해를 본데 대해 깊은 슬픔을 느끼고 더 아프게 생각한다고 말하기도 했다 오바마 대통령은 세월호 사고 당일 백악관에 게양됐던 성조기를 가져온 것에 대해 미국엔 군인이나 참전용사가 목숨을 잃었을 때 그 가족이나 사랑하는 사람들에게 국기를 증정하는 전통이 있다며 미국의 그런 전통과 정신으로 박 대통령과 대한민국 국민에게 미국 국민을 대표해 드린다고 밝혔다 정상회담 시작에 앞서서는 사고 희생자와 실종자 사망자들을 기리는 시간을 가졌으면 한다며 박 대통령에게 묵념을 제안 이날 회담에 배석한 양국 정부 관계자들이 모두 함께 약 초 간 묵념을 했다 이에 대해 박 대통령은 묵념 뒤 오바마 대통령에게 이렇게 세월호 희생자들을 위한 묵념을 제안해줘 감사하다 사고가 난 후 오바마 대통령이 직접 위로의 뜻을 전하고 구조함 파견 등 적극적으로 지원해줘 우리 국민에게 큰 위로와 힘이 되고 있다고 사의를 표했다 
3, 세월호 참사에 설경구 송윤아 억 기부를 해 화제다 일 유니세프한국위원회에 따르면 송윤아 설경구 부부가 지난 일 세월호 참사 피해학생 및 고통받는 가족들의 아픔에 깊은 안타까움을 표하며 성금 억원을 유니세프한국위원회에 전달했다고 밝혔다 설경구 송윤이 억 기부하며 세월호 참사를 지켜보며 말로 표현하기 어려운 아픔을 느꼈다 신체적 정신적으로 큰 상처를 입은 분들이 부디 무사히 회복되기를 간절히 바란다라고 전했다 유니세프는 설경구 송윤아 부부의 뜻에 따라 성금 전액을 세월호 사고와 관련된 사업에 사용할 예정으로 피해 학생들의 학업 및 심리상담 프로그램을 지원할 계획이다 세월호 참사 설경구 송윤아 억 기부 소식을 접한 누리꾼들은 세월호 설경구 송윤아 억 기부했네 세월호 참사 설경구 송윤아 억 기부는 좋지만 송윤아 드라마 들어가는 타이밍에 기부하니까 좀 그렇다 세월호 설경구 송윤아 억 기부 좋은 일에는 악플 달지 좀 마요 천원이나 기부하고 그러던가 등의 반응을 보였다 한편 송윤아는 월 방송예정인 주말드라마 마마세상에 무서울 게 없는가제 주인공에 캐스팅돼 안방극장에 복귀할 예정이다 
4, 배우 송윤아와 설경구 부부가 세월호 참사 희생자와 유가족을 위해 억 원을 기부했다 일 유니세프한국위원회에 따르면 송윤아 설경구 부부가 지난 일 세월호 참사 피해학생 및 고통받는 가족들의 아픔에 깊은 안타까움을 표하며 성금 억 원을 유니세프한국위원회에 전달했다고 밝혔다 송윤아 설경구 부부는 세월호 참사를 지켜보며 말로 표현하기 어려운 아픔을 느꼈다 신체적 정신적으로 큰 상처를 입은 분들이 부디 무사히 회복되기를 간절히 바랍니다라고 전했다 유니세프는 부부의 뜻에 따라 성금 전액을 세월호 사고와 관련된 사업에 사용할 예정으로 피해 학생들의 학업 및 심리상담 프로그램을 지원할 계획이다 세월호 참사 송윤아 설경구 부부의 기부 소식을 접한 누리꾼들은 세월호 송윤아 설경구 부부 기부했네 세월호 참사 기부는 좋지만 송윤아 드라마 들어가는 타이밍에 기부하니까 좀 그렇다 세월호 기부 좋은 일에는 악플 달지 좀 마요 천원이나 기부하고 그러던가 등의 반응을 보였다 한편 송윤아는 월 방송예정인 주말드라마 마마세상에 무서울 게 없는가제 주인공에 캐스팅돼 안방극장에 복귀할 예정이다 
5, 세월호 노란리본달기 캠페인에 배우 이세영 역시 동참했다 최근 이세영은 자신의 트위터 프로필 사진을 하나의 작은 움직임이 큰 기적을이라는 글귀가 적힌 리본사진으로 변경하며 노란리본달기 캠페인에 동참했다 앞서 이세영은 지난 일 자신의 트위터에 지켜보는 것 말고는 할 수 있는게 아무것도 없어서 안타깝네요 기적이 일어나길 간절히 기도합니다라는 글을 남기며 세월호 참사에 애도를 전하기도 했다 세월호 노란리본달기 캠페인 이세영 동참 소식을 접한 누리꾼들은 세월호 노란리본달기 캠페인 제발 기적이 일어나길 세월호 노란리본달기 캠페인 많은 분들이 참여한 만큼 기적으로 돌아오길 세월호 노란리본달기 캠페인 카톡 들어가도 온통 노란물결이다 등의 반응을 보였다 
6, 세월호 노란리본달기 캠페인에 배우 박지빈이 동참했다 지난 일 박지빈은 자신의 트위터에 한국을 위해 기도해주세요 기적이 일어나길이라는 글과 함께 노란리본 사진을 게재했다 이어 그는 트위터 프로필 사진 역시 노란리본으로 변경하며 노란리본달기 캠페인에 참여했다 앞서 박지빈은 지난 일에도 기적적으로 태어났으니 기적적으로 되돌아오기를 바랍니다라는 글을 적으며 무사귀환을 바라는 글을 적은 바 있다 세월호 노란리본달기 캠페인 박지빈 동참 소식을 접한 누리꾼들은 세월호 노란리본달기 캠페인 노란리본 의미 그대로 기적적으로 되돌아오길 세월호 노란리본달기 캠페인 진짜 노란리본 의미를 아는 박지빈이네요 세월호 노란리본달기 캠페인 유족들이 위로가 되길 등의 반응을 보였다 한편 노란리본 의미는 다시 돌아오기만을 기다린다는 것으로 제 차 세계대전 당시 미국 병사들의 조속한 무사귀환을 바라는 뜻이로 노란리본을 나무에 묶어 놓고 기다린 데서 유래된 것으로 전해졌다 
7, 세월호 노란리본달기 캠페인에 가수 겸 배우 이정현이 동참했다 지난 일 이정현은 자신의 트위터에 기적이 일어나길 기도합니다라는 글과 함께 하나의 작은 움직임이 큰 기적을이라는 글귀가 적힌 리본 그림을 게재했다 이어 트위터 프로필 역시 같은 그림으로 변경하며 노란리본달기 캠페인에 참여했다 세월호 노란리본달기 캠페인 이정현 동참 소식을 접한 누리꾼들은 세월호 노란리본달기 캠페인 많은 사람들이 한 만큼 기적이 있길 세월호 노란리본달기 캠페인 하늘까지 간절함 닿길 세월호 노란리본달기 캠페인 제발 하늘에서는 행복하길 등의 반응을 보였다 
8, 세월호 노란리본달기 캠페인에 가수 주니엘이 동참했다 최근 주니엘은 자신의 트위터 프로필 사진을 하나의 작은 움직임이 큰 기적을간절히 원하고 기도합니다라는 글귀가 적힌 리본 사진으로 변경했다 주니엘은 트위터에 별다른 글을 쓰지는 않았지만 노란리본달기 캠페인에 동참해 세월호 참사에 깊은 애도의 마음을 전달했다 세월호 노란리본달기 캠페인 주니엘 동참 소식을 접한 누리꾼들은 세월호 노란리본달기 캠페인 정말 많은 사람들이 하고있구나 세월호 노란리본달기 캠페인 진짜 간절히 원하고 간절히 기도해 세월호 노란리본달기 캠페인 주니엘도 동참했구나 등의 반응을 보였다 
9, 이종격투기 선수 겸 방송인 추성훈이 세월호 참사에 천만원 성금을 기부했다 일 경기도 안산시 복지정책과는 추성훈이 지난 일 소속사를 통해 피해자들을 위해 써달라며 시청에 기부금 만 원을 전달했다고 밝혔다 추성훈은 여객선 세월호 침몰로 전국민이 시름에 빠져 있어 안타깝다고 말한 것으로 알려졌다 앞서 추성훈은 지난 일 자신의 트위터에 가족과 함께 를 통해 배 침몰 사건을 지켜보면서 너무나 안타깝고 마음이 아픕니다 유가족 분들에게 깊은 애도를 표하며 실종자 분들이 무사히 다시 가족 품으로 돌아갈 수 있기를 진심으로 기원합니다라는 글을 남기며 애도를 전하기도 했다 추성훈의 기부금은 세월호 침몰 사고 피해자생존 실종 사망 중 기초생활보장 수급자 명에게 지급될 예정으로 알려졌다 세월호 추성훈 기부 소식에 누리꾼들은 세월호 기부 추성훈 씨도 하셨네요 세월호 기부 많은 분들이 하고 있는만큼 돈이 투명하게 쓰이길 세월호 기부 저도 소액이라도 해야겠어요 등의 반응을 보였다 
10, 세월호 침몰 사고와 관련 자숙 모드를 이어가던 새정치민주연합이 대여對與 공세로 돌아서기 시작했다 새정치연합 전병헌 원내대표는 일 국회에서 열린 고위정책여객선 침몰 사건 대책위원회 연석회의에서 청와대가 세월호 참사에 대해 국가안보실은 재난 컨트롤타워가 아니다고 한 데 대해 무한 책임의 자세를 보일 청와대가 재난 사령탑이 아니다는 말을 어떻게 할 수 있느냐며 청와대의 자숙을 당부한다고 말했다 전 원내대표는 국민의 생명과 안전을 위협하는 곳 그 어디에도 청와대가 있어야 한다 국민의 생명과 재산을 지키는 것이야말로 진정한 안보라며 국민적 슬픔 앞에 선 긋기 하고 책임 피하기에 급급한 태도는 없어야 한다고 했다 여객선 사건 대책위원장을 맡은 우원식 최고위원도 반성하고 반성해도 부족할 판에 책임 회피나 하고 있다니 제정신이라면 이런 말을 할 수 있겠나라며 세월호만 침몰한 것이 아니라 정부의 재난 관리 시스템도 함께 침몰했고 그 시스템의 정점에 청와대가 있다고 말했다 공동 대책위원장인 김영환 의원은 이날 라디오 프로그램에서 내각 총사퇴 이상의 문제라고 생각한다며 국가 기강이 무너진 문제이고 정부에 대한 국민의 신뢰가 걸려 있는 문제이기 때문에 우리가 할 수 있는 모든 일을 해야 된다고 했다 새정치연합은 그간 세월호 사고 수습에 적극 협조하겠다며 정부에 대한 비판과 공격은 최대한 자제해왔다 그러나 사고 발생 일주일을 넘어서면서 현 정권에 책임을 물어야 한다는 목소리가 높아지고 있다 본격 지방선거 국면에 접어들면 정권 심판론으로 확대될 가능성도 작지 않다 
