,x
1,배가 기운다 배가 기울어 잡기만 해 잡기만 해 잡아 잡아 전남도 어업지도선  호에서 내려진 단정이 지난  일 오전  시 분 침몰해 가는 세월호 좌현 중앙부로 접근했다 바닷물 위로 머리만 내민 채 철제 난간을 붙잡고 버티고 있는 학생  명이 다급하게 구조를 요청했다 선원들은 난간을 놓고 바닷물로 뛰어든 학생들에게 큰 소리를 치며 손을 내밀었다 선원들은 구명조끼을 입은 채 허우적대는 학생들을 차례차례 끌어올렸다 전남도는  일 세월호 사고 현장에 출동했던 어업지도선  호가 찍은  분 초짜리 동영상을 공개했다 이 동영상은 단정최대  명 승선 항해사 박승기 씨의 헬멧에 부착된 캠코더로 촬영됐다 세월호 침몰 직전인 지난  일 오전  시 분 세월호 주변 상황과 승객 구조 장면이 담겼다 이 동영상은 침몰 초기에 찍은 해경 동영상과는 달리 편집 없이 그대로 공개됐다 잇따라 공개되고 있는 동영상들은 승객들이 사고 뒤  분 동안 아직 침몰하지 않은 세월호 밖으로 나올 시간적 여유가 있었는데도 승무원들이 퇴선명령을 하지 않고 먼저 탈출해 희생을 키웠다는 것을 보여줘 안타까움을 더하고 있다 동영상을 보면 이날 오전  시 분 진도군 의신면 갈명도에서 불법어업 단속 중 사고 소식을 듣고 출동한 단정은 세월호에 닿자마자  도쯤 기울어진 선미 쪽 철제 난간에 아슬아슬하게 매달려 있는 승객  여명을 서둘러 구조했다 검은 잠수복을 입고 승객들을 유도하고 있는 해경 구조대원의 다급한 몸짓과 세월호 위로 정지한 듯 떠 있는 헬기  대의 요란한 비행음이 손에 잡힐 듯 생생하다  시 분께는 바다 위로 머리만 내민 학생들이 무더기로 단정에 구조됐다 학생들은 살려줘 살려줘라고 울먹이며 구조를 애타게 기다리다 단정에 올라서고서야 비로소 안도의 한숨을 내쉬었다 단정은 구조한 승객들을 해경  정으로 옮겨 태우기를 반복하며 침몰해 가는 세월호 주변에서 위험을 무릅쓰고  여명을 구조해 냈다  시 분 어업지도선 단정  척은 서로 협력해 바다에 빠져 의식을 잃은 학생  명을 건져 올린 뒤 학생 몸속에서 물을 빼내려 시도했다 학생이 정신을 차리지 못하자 서둘러 해경  정으로 이송하는 급박한 장면이 담겨 있다 이 순간 세월호는 완전히 뒤집혀 선수 바닥만 물 밖으로 드러낸 채 침몰해 버렸고 세월호 주변에는 구조선  여척과 헬기들만 텅 빈 바다 위를 맴도는 장면으로 영상은 끝이 난다 전남도 관계자는 어업지도선의 단정  척이 이날  분 동안 승객을  명 구조했다 피시헌터호와 태선호 등 어선  척도  명을 구한 것으로 보고됐다 일찌감치 퇴선명령을 내렸다면 희생을 더 줄였을 텐데 안타깝다고 밝혔다 목포안관옥 기자  
2, 세월호 침몰사고로 숨진 경기도 안산 단원고 학생  여명의 유족들이  일 세월호 사고 유가족 대책위원회이하 대책위를 꾸려 정부에 진상 규명과 적극적인 수색 관련자 처벌 등을 요구했다 이들은 이날 침몰선에서 숨지기 전 한 학생이 휴대전화로 찍은  분 분량의 동영상도 공개했다 대책위는 이날 저녁  시 분께 정부 합동분향소 옆 안산와스타디움  층 인터뷰실에서 기자회견을 열었다 이번 사고로 딸을 잃은 김병권  대책위 공동대표는 정확한 사고 경위와 사고 발생의 진상 규명을 정식으로 정부에 요청한다고 밝혔다 이어 정부의 태만하고 기만적인 구조체계로 아이들의 생명을 구할 수 있었음에도 구하지 못했다 아직 바다에 남아 있는 어린 학생들을 재빨리 사랑하는 가족의 품으로 돌아갈 수 있도록 더 이상의 변명 없는 적극적인 태도를 촉구한다 또 업무성과와 밥그릇 싸움 집단이기주의로 똘똘 뭉친 권력층과 선박 관계자들 교육부 관계자 등에게 책임을 물어야 한다고 촉구했다 또한 대책위는 현재 여러 단체에서 진행되고 있는 성금 모금을 중단해 달라는 입장도 밝혔다 김 대표는 지금 사조직이나 시민단체에서 진행되고 있는 성금 모금은 저희 유가족의 의사와 무관하며 자식을 잃은 저희들에게 성금은 너무나 국민들에게 죄송한 일임을 알려드린다 동의하지 않는 성금 모금을 당장 중지해주시기 바란다고 촉구했다 이어 대책위는 이 사고로 매일 울고 있는 안타까워하는 국민 여러분 제 자식을 제대로 지키지 못한 무능한 저희 유가족에게 더 이상 미안해하지 말아달라고 당부하기도 했다 대책위가 공개한  분 분량의 동영상에는 기울어진 세월호 선실에 있는 단원고 학생들이 불안감을 애써 억누르며 이야기하는 장면이 담겨 있다 대책위는 이날 사고 희생자  여명의 유가족  여명이 모여  시간가량 회의를 한 끝에 꾸려졌다 이들은 단원고 반별로 공동대표를 선출했다 이날 출범한 세월호 사고 유가족 대책위는 세월호 사고 이후 유가족들끼리 모여 꾸린 공식적인 단체로는 처음이다 지금까지 유가족들은 정부나 지방자치단체의 중재를 통해 모이거나  명의 유가족끼리 모여 회의를 해왔다 대책위는 조만간 실종자 가족들을 돕기 위해 전남 진도를 찾을 예정이다 안산김일우 기자  
3,다이버 다이버 잘 들려요 알파잠수기술공사 이종인  대표가 마이크를 잡고 잠수요원들을 불렀다 잠수요원들은 다이빙벨 내부에 설치된 카메라를 향해 오케이 신호를 보냈다 잠수 준비가 시작됐다 오리발을 신고 공기통을 멨다 높이   폭   커다란 종 모양의 노란색 다이빙벨에는 수면 위 바지선과 잠수요원들을 연결하는 생명줄들이 이어져 있었다 통신선 전기선 압축공기를 공급하는 호스가 장시간 수중 작업을 돕는다고 했다 이종인 대표가 작은 모니터에 비치는 다이빙벨 속 잠수요원의 모습을 살폈다 그러다 수중크레인을 향해 손짓을 했다 자 내려갑니다  일 낮  시 전남 진도군 관매도 앞바다에서는 세월호 수색 실전 투입에 앞서 민간 잠수요원들의 적응 훈련이 한창이었다 자원봉사에 나선 민간 잠수요원들은 다이빙벨 사용이 처음이다 쇠사슬  개로 묶인 다이빙벨이 크레인에 들려 수중으로 투입되자 다이빙벨 내부는 물론 이를 모니터하는 바지선 위에도 긴장이 감돌았다 줄 걸렸어 조심해 이 대표는 잠수요원들이 들고 있는 카메라와 다이빙벨 내부의 카메라를 통해 실시간으로 상황을 체크했다 형상이 될 만한 것을 비춰봐 훈련 시간은  분이었다 수심이  여밖에 되지 않아 훈련 시간이 짧았다 다이빙벨을 타고 다시 물 밖으로 나온 김명기 씨는 조류와 유속의 영향을 덜 받아 다이버가 안전하게 선체에 진입할 수 있을 것 같다  분은 작업할 수 있는 걸로 보인다고 했다전남 진도군 조도면 세월호 침몰 참사 현장 인근 관매도 앞바다에서  일 오후 다이빙벨 투입에 앞서 작동 시험이 이뤄지고 있다 진도김봉규 선임기자다이빙벨 실은 바지선 현장 도착했지만 파도 거세 투입 못해 잦아질 때까지 기다려야 한다며함께 간 실종자 부모  명 속이 새카맣게 타버렸다 제주도 간다고 좋아했는데 용돈  만원 주고 이날 오전  시께 다이빙벨을 실은 바지선이 진도 팽목항을 떠났다  일  차 투입 실패에 이어 두번째 시도에 나선 것이다 바지선 양쪽에는 방향을 잡아주기 위한   예인선  대가 붙었다 엔진 소리가 커질수록 먼저 주검이 되어 도착한 이들이 누워 있던 팽목항의 하얀 천막들이 흰 점으로 변해갔다 바지선에는 자원봉사 민간 잠수요원  명과 실종자 학부모  명이 승선했다 아버지는 바다에서 눈을 떼지 못했다 김아무개 씨는 아들과 주고받은 마지막 문자메시지를 잊지 못한다 사고 전날 문자가 왔어요 애들이 자주 쓰는 ㅎㅎ 있잖아요 그거랑 같이 아들은 아버지 용돈 주셔서 감사해요 제주도 가서 맛있는 거 많이 먹고 친구들이랑 추억 만들고 올게요라고 했다 아버지는 답장을 보냈다 그래 위험하니까 바깥에서 뛰어다니지 말고 안쪽으로 다녀라 자꾸 아들 생각이 나서 문자메시지를 지웠지만 그래도 자꾸만 생각이 난다고 했다 아버지는 후회했다 잘해준 것도 없고 강하게만 키우려고 했어요 어디 가서 꿀리지 않게 키우려고 했어요 제주도를 배로 간다기에 불안했는데 그래도 첫 제주도 여행이니까 그냥 보낸 건데 아버지는 고개를 떨구고 눈물을 보였다 어제 작은딸이 울면서 전화를 하더라고요 오빠한테 아무리 카카오톡을 보내도 답장이 없다고 하는데 그 마음은 정말 하나뿐인 아들 승현이를 찾지 못하고 있는 백용성 씨의 속도 새카맣게 타버렸다 사고 전날 승현이랑 통화했어요 안개 때문에 출발 못하고 있다고 휴대전화 배터리가 없다고 해서 끊었죠 제주도 간다고 엄청 좋아했어요 용돈  만원 주고 체크카드에도  만원을 더 넣어줬어요 아버지는 더 이상 말을 잇지 못했다 오후  시께 아버지들을 실은 바지선으로 주검들이 추가로 수습됐다는 소식이 전해졌다 아이들은 모두 구명조끼를 입고 있었다고 했다 배에서 가장 높은  층 로비에서 발견됐다는 말도 전해졌다 깊은 한숨 속에 대화가 이어졌다  층에는 애들 방이 없었어  층에 있던 아이들이  층으로 올라왔을 수도 있어 애들이 나왔으면 다행이고 신원 확인이 되면 어느 반인 줄 알 거 아니야 두 아이는 모두  반 같은 반 친구였다  반 아이들 객실은  층 선수 쪽이었다 오후  시 분께 도착한 침몰 해역에선 파도가 높이 일렁였다 다이빙벨 자체 무게만  이다 여기에 조류에 휩쓸리지 않도록   무게의 추를 더 달았다 그런데도 파도가 셌다 다이빙벨은 투입되지 못했다 이 대표는 합동구조팀 다이버들이 수색을 하고 있어서 침몰 지점에 바지선을 접안시킬 수가 없다 접안을 시키더라도 파도가 잦아질 때까지 기다려야 한다고 했다 다시 접안을 시도한 건 오후  시 분께였다 다이빙벨은 수면 위에서 멈췄다  여 아래에는 세월호의 선미가 옆으로 누워 있을 것이다 파도가 일렁일 때마다 배는 합동구조팀 쪽 바지선과 위태롭게 부딪혔다 군인들이 타고 있는 고무보트  척이 주변을 맴돌았다 해경 함정과 어선  여척도 사고 해역을 지키고 있었다 조류가 약해진 밤  시 분밤  시 사이에 바지선과 세월호를 연결하는 가이드라인안내줄이 추가로 연결됐다 날은 어두워지고 파도는 다시 거칠어졌다 김씨는 바다를 향해 나지막이 내뱉었다 갑자기 내가 왜 이렇게 됐지 나도 아들을 빨리 데려가고 싶어 진도서영지 기자  
4,현장에서 언론사 기자로 일하다 보면 이따금 마주치는 어떤 시민이 있다 여기저기 도움의 손길을 요청해본 뒤 그래도 억울함이 풀리지 않아 마지막으로 기자를 찾는 이들이다 세월호 침몰사고 취재 과정에서 만난 취재원 ㄱ씨가 그런 사람이다 세월호가 속한 연안여객선업체 청해진해운에서  여년간 일한 그는 지난해 스스로 회사에서 나왔다 직원 처우는 형편없었고 나아지리라는 전망도 보이지 않았다 회사 쪽은 청해진해운의 불법적 선박운항 행태에 여러 차례 문제를 제기한 그에게 밀린 수당과 퇴직금 일부를 주지 않았다 ㄱ씨는 회사의 행태를 도저히 이해할 수 없었다 그는 힘센 기관을 찾아 밀린 임금과 퇴직금이라도 받아내고 싶었다 가장 먼저 찾은 곳은 고용노동부고용부였다 고용부에서는 ㄱ씨의 임금체불 민원을 신속히 처리해주지 않았다 ㄱ씨는 몸이 달았다 자신의 임금조차 떼어먹으려는 청해진해운이 얼마나 나쁜 회사인지 설명하려고 그는   용지  장에 걸쳐 이 회사의 각종 비리 의혹을 적었다 그리고 더 힘센 기관을 찾았다 그가 고용노동부보다 높은 곳이라 여긴 곳이 청와대다 인터넷에서 청와대 민원실을 열심히 찾았다 맨 앞줄에 국민신문고라는 익숙한 단어가 나타났다 ㄱ씨는 이렇게 청와대 신문고를 찾아 자신이 직접 경험한 청해진해운의 어두운 면을 고발했다 청와대 신문고에 청해진해운을 고발한 뒤 석달이 지났다 자신이 일하던 회사의 선박 세월호가 침몰했다는 소식을 들었다 ㄱ씨는 마음이 아팠다 힘센 기관이라는 청와대 아니면 고용부의 단 한명이라도 자신이 올린 청해진해운을 고발합니다라는 제목의 글을 유심히 살폈더라면 이게 그가 기자를 만나 청와대 신문고 민원 제기 사실을 털어놓은 이유의 전부다 최성진 기자 보도▷ 단독 청해진 직원 청와대 신문고에 청해진 위험 고발했었다가 나간 뒤 민경욱 청와대 대변인은  일 별도 브리핑을 열어 이렇게 말했다 기사에 나온 민원인은 국민권익위 국민신문고에 민원을 제기한 것이다 청와대 신문고는 존재하지 않는다 민 대변인을 위해 청와대 누리집 갈무리 화면사진을 소개한다 ㄱ씨는 민 대변인 브리핑 직후 국민권익위원회라는 곳의 이름은 처음 들어본다고 전해왔다 최성진 기자  
5, 부산지방경찰청이 전국 지방경찰청 가운데 처음으로 위험에 빠진 시민 생명을 구할 수 있는 마지막 시간인 이른바 골든타임을 놓치지 않기 위한 매뉴얼을 만들었다 세월호 침몰 신고를 받고도 우왕좌왕하는 바람에 해경 출동 시간이 늦어져 희생자가 더 늘어났다는 지적을 반면교사 삼아 경찰이 대책을 세운 것이어서 주목된다 부산지방경찰청은  일 시민의 생명신체 안전과 직결되는 중요 사건사고가 일어났을 때 골든타임 안에 현장에 출동해 피해를 최소화하는 골든타임 사건 초동 조처 매뉴얼을 마련해 이날 시행에 들어갔다고 밝혔다 매뉴얼의 핵심은  신고가 들어오면 상황실에서 비상벨을 눌러 형사교통경비 등 관련 부서 당직자들을 상황실로 소집해 즉각 회의를 여는 것이다 지금까지는 신고가 접수되면 상황실에서 관련 부서에 일일이 전화를 걸어 회의를 하거나 지령을 내렸다 이 매뉴얼은 골든타임 사건  가지에 적용된다 살인 강도 인질 난동 집단 조직폭력 등 주요 강력사건 택시강도 오토바이 날치기 등 이동성 범죄 항공기선박열차버스 등 피습피랍테러 사건 유조차유조선 전복 등 대형 환경오염 사건 대규모 정전 사태 독극물독가스 살포 폭발물 폭발 등이다  가지 골든타임 사건이 접수되면  단계로 실행된다  단계는  신고가 들어오면 불필요한 질문을 하지 않고 경찰입니다 어디십니까를 묻고  순찰차를 먼저 출동시킨다 세월호 승객이 해경에 전화를 했을 때 선박의 위치 등을 묻느라 구조선 출동 시간을 허비했던 것과 비교된다  단계는 상황실 직원이 비상벨을 눌러 관련 부서 당직자들을 상황실로 소집하고 신고자와  접수자 순찰차형사 등이 신고 내용을 함께 들으면서 현장에 빨리 정확히 출동하는 원터치 공청이다  단계는 골든타임 사건 근처의 모든  순찰차와 경찰을 현장에 집중시킨다  단계는 위성항법장치와 와이파이를 이용해 출동한 경찰한테 현장의 정확한 위치를 다시 알려준다  단계는 경찰특공대와  타격대 등을 현장에 보내 인명구조와 범인 검거를 위한 검문검색과 주변 수색통제 등을 한다 마지막  단계는 경찰서장이 골든타임 사건을 총괄 지휘하고 소방서군해경 등 유관기관에 통보해 협조체계를 마무리한다 부산지방경찰청 관계자는  초라도 더 빨리 시민 생명을 지키고 보호하기 위해 골든타임 사건 매뉴얼을 마련했다 현장 출동 시간이 줄어 인명피해 감소와 범인 조기검거가 기대된다고 말했다 부산김광수 기자  
6,여야 의원들이  일 오후 열린 국회 본회의에서 세월호 침몰사고 신속 구조 피해지원 및 진상규명을 위한 결의안을 통과시키기에 앞서 희생자들의 명복과 실종자들의 생환을 기원하는 묵념을 하고 있다 국회는 이날 이 결의안을 만장일치로 채택했다 결의안은 우선 남은 실종자 구조에 모든 노력을 기울일 것을 주문하고 사고 대응수습 과정에서 많은 문제점을 노출해 피해 규모를 줄이지 못한 정부에 대해 진정성 있는 사과를 촉구했다 피해 당사자와 가족 피해 지역 주민에 대한 긴급 구호와 심리치료 경제적 안정을 위해 정부와 지방자치단체에 예산제도 지원도 요청했다 이정우 선임기자  
7,세월호 참사 이후 중단됐던 새누리당 서울시장 경선이  일  차 텔레비전 토론으로 재개됐다 종합편성방송  스튜디오에서 열린 이 토론에서 후보들은 세월호 침몰 사고의 책임 소재를 둘러싸고 날카로운 신경전을 벌였다 김황식 후보가 먼저 공격의 불씨를 댕겼다 김 후보는 모두발언에서 이번 사고는 부도덕한 기업인의 탐욕 무능하고 무책임한 관련 감독기관의 책임이 한데 어우러진 사고라며 현대중공업 대주주인 정몽준 후보를 우회적으로 비판했다 정몽준 후보는 이에 대해 김 전 총리가 부도덕한 기업인의 탐욕이라고 말했는데 그렇게 기업인을 매도한다고 해서 정부 책임을 회피할 수 있겠는가라며 이명박 정부 총리 출신인 김황식 후보를 정면으로 겨냥했다 김 후보는 최근 현대중공업에서 건조중인 액화석유가스선에 화재 사고가 난 점 등을 거론하며 현대중공업이 초일류 기업이지만 최근  명의 근로자를 희생시킨 안전 사고가 발생한 안전불감증이 심한 기업이고 원전 비리에 연루돼 임직원이 유죄 판결을 받았다고 비판했다 정 후보는 세월호 참사의 책임이 있는 한국해운조합의 주성호 이사장은 김 후보의 총리 시절 훈장을 받고 차관으로 승진했다고 반격했다 이혜훈 후보는 제가 안전 공약을 제일 많이 발표했다 두 후보 모두 안전 공약 발표가 없다가 세월호 사고가 나니 부랴부랴 발표하고 있다며 두 후보를 동시에 공격했다 이 후보도 감사원장을 지낸 김 후보에게 더 각을 세웠다 그는 김 전 총리가 감사원장으로 있던 시절 세월호 선령 연장이 이뤄졌는데 그때 안전 점검을 강화하라는 정부 용역보고서도 있었지만 한번도 점검하지 않았다고 지적했다 서보미 기자  
8, 일 오후 서울시청 앞 서울광장에 마련된 세월호 침몰사고 희생자 합동분향소를 찾은 시민들이 헌화묵념을 마친 뒤 실종자들의 무사귀환을 염원하는 노란 리본을 나무에 묶고 있다 김태형 기자   
9, 일 오전 세월호 침몰사고 실종자 가족들이 머물고 있는 전남 진도체육관 의자에서 한 여성이 이불을 덮은 채 고개를 떨구고 있다 진도김성광 기자   
10, 세월호 침몰사고로 숨진 경기도 안산 단원고 학생  여명의 유족들이  일 세월호 사고 유가족 대책위원회이하 대책위를 꾸려 정부에 진상 규명과 적극적인 수색 관련자 처벌 등을 요구했다 이들은 이날 침몰선에서 숨지기 전 한 학생이 휴대전화로 찍은  분 분량의 동영상도 공개했다 대책위는 이날 저녁  시 분께 정부 합동분향소 옆 안산와스타디움  층 인터뷰실에서 기자회견을 열었다 이번 사고로 딸을 잃은 김병권  대책위 공동대표는 정확한 사고 경위와 사고 발생의 진상 규명을 정식으로 정부에 요청한다고 밝혔다 이어 정부의 태만하고 기만적인 구조체계로 아이들의 생명을 구할 수 있었음에도 구하지 못했다 아직 바다에 남아 있는 어린 학생들을 재빨리 사랑하는 가족의 품으로 돌아갈 수 있도록 더 이상의 변명 없는 적극적인 태도를 촉구한다 또 업무성과와 밥그릇 싸움 집단이기주의로 똘똘 뭉친 권력층과 선박 관계자들 교육부 관계자 등에게 책임을 물어야 한다고 촉구했다 또한 대책위는 현재 여러 단체에서 진행되고 있는 성금 모금을 중단해 달라는 입장도 밝혔다 김 대표는 지금 사조직이나 시민단체에서 진행되고 있는 성금 모금은 저희 유가족의 의사와 무관하며 자식을 잃은 저희들에게 성금은 너무나 국민들에게 죄송한 일임을 알려드린다 동의하지 않는 성금 모금을 당장 중지해주시기 바란다고 촉구했다 세월호 침몰사고 희생자 유족들이  일 오후 경기도 안산시 와스타디움 대회의실에서 합동회의를 열고 있다 안산이정아 기자 이어 대책위는 이 사고로 매일 울고 있는 안타까워하는 국민 여러분 제 자식을 제대로 지키지 못한 무능한 저희 유가족에게 더 이상 미안해하지 말아달라고 당부하기도 했다 대책위가 공개한  분 분량의 동영상에는 기울어진 세월호 선실에 있는 단원고 학생들이 불안감을 애써 억누르며 이야기하는 장면이 담겨 있다 대책위는 이날 사고 희생자  여명의 유가족  여명이 모여  시간가량 회의를 한 끝에 꾸려졌다 이들은 단원고 반별로 공동대표를 선출했다 이날 출범한 세월호 사고 유가족 대책위는 세월호 사고 이후 유가족들끼리 모여 꾸린 공식적인 단체로는 처음이다 지금까지 유가족들은 정부나 지방자치단체의 중재를 통해 모이거나  명의 유가족끼리 모여 회의를 해왔다 대책위는 조만간 실종자 가족들을 돕기 위해 전남 진도를 찾을 예정이다 안산김일우 기자  
